Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Burundi,76,-,-,4,D,4,D,3,-,-,4,D,-,-,-,-,D,5,-,-,D,-,D,3,3,D,-,-,-,D,-,D,3,-,8,-,-,-,-,3,D,-,-,-,D,3,11,D,-,-,-,8,-,-,-,-,1
Cambodia,"5,869",26,4,66,D,"2,041",65,49,3,D,127,149,-,9,5,69,13,28,19,35,5,34,58,938,50,155,3,19,-,D,18,13,35,D,102,57,-,115,5,83,368,-,154,43,D,35,310,-,-,39,D,177,299,-,17,-,21
Cameroon,967,8,-,7,5,70,10,4,8,15,15,92,-,-,-,29,7,D,9,12,3,D,284,42,23,27,D,9,-,5,6,D,28,D,29,11,-,29,7,D,24,-,-,6,-,3,68,D,-,D,-,37,5,D,8,-,10
Canada,"12,387",57,35,529,30,"2,003",305,173,25,23,"1,555",366,4,61,63,314,103,64,55,71,46,95,203,384,541,167,20,92,78,38,179,104,326,49,576,193,38,277,54,255,278,D,31,129,18,129,855,8,D,194,79,305,616,18,93,17,62
Cape Verde,"1,265",-,-,-,-,D,D,26,-,-,31,4,-,-,-,-,-,-,D,-,-,-,10,847,D,-,-,-,-,-,-,D,14,-,7,3,-,-,-,-,3,-,302,-,-,-,D,-,-,-,D,4,D,-,-,-,4
Cayman Islands,24,-,-,-,-,D,D,D,-,-,12,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,D,-,-,-,-
Central African Republic,19,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,4,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,D,-,-,3,-,-,-,-,-,-,-,-,D,-,-,D,-,3,-,-,-,-,-
Chad,22,-,-,-,-,D,-,D,-,-,D,D,-,-,-,D,4,-,-,-,-,D,D,D,-,D,-,-,-,-,-,-,D,-,D,D,-,-,-,-,D,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-
Chile,"2,851",3,D,42,4,507,29,43,6,10,809,54,-,4,5,50,9,3,-,6,9,D,97,81,22,11,D,11,-,6,39,D,198,10,276,18,-,14,3,30,39,15,6,15,D,15,96,-,-,64,D,104,44,-,7,D,24
"China, People's Republic","40,017",96,11,384,45,"14,463",394,405,71,38,762,502,17,348,55,"1,556",208,85,146,102,79,40,"1,223","1,715",752,296,62,295,18,68,332,75,"1,835",45,"5,867",317,14,583,91,586,"1,161",47,59,94,13,175,"1,831",20,8,124,27,"1,054","1,023",44,189,13,154
Cocos Islands,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Colombia,"22,926",32,22,163,22,"1,349",108,422,18,19,"9,107",530,D,20,8,396,59,22,55,34,56,9,300,527,56,52,20,45,6,30,111,38,"3,092",42,"2,719",278,7,99,46,31,358,160,239,202,D,75,"1,123",21,3,79,D,380,104,12,48,3,165
Comoros,6,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-
"Congo, Democratic Republic",211,-,-,5,D,12,5,D,-,D,8,18,-,D,D,14,3,3,D,3,5,D,14,6,4,D,-,7,-,D,-,3,D,4,13,13,-,D,D,D,3,-,-,3,D,3,28,D,-,3,D,7,3,-,D,-,-
"Congo, Republic",306,-,-,13,-,28,5,D,-,-,19,20,-,-,3,11,D,D,-,11,D,13,31,15,5,-,-,7,-,5,D,-,10,-,13,14,-,D,D,3,5,-,-,-,-,4,33,3,-,3,3,12,3,-,D,-,3
Cook Islands,6,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,D,-,-
Costa Rica,"2,376",6,-,36,7,396,23,20,D,D,623,43,-,8,5,25,12,5,6,4,15,-,42,68,7,19,D,4,-,3,31,D,305,10,185,57,D,16,13,14,39,19,D,24,D,21,154,D,-,13,D,46,19,-,7,-,12
Cote d'Ivoire,479,-,-,D,-,37,10,7,4,3,7,30,-,D,-,10,6,-,D,D,D,-,68,15,13,7,-,-,-,-,3,D,29,-,95,15,-,11,-,D,37,-,3,D,D,3,19,D,-,D,-,20,7,D,D,-,3
Croatia,"1,251",D,D,77,6,129,24,D,4,D,111,29,-,3,16,94,44,28,5,8,4,5,22,23,35,12,D,33,-,6,24,10,49,D,80,20,3,104,D,4,25,-,3,D,10,7,46,-,-,20,-,44,18,-,41,-,15
Cuba,"39,871",12,3,120,8,653,25,44,5,5,"34,312",195,-,6,4,109,10,3,10,251,90,D,44,84,94,12,9,35,D,19,364,D,"1,033",72,382,100,-,25,9,85,92,213,7,27,D,56,432,6,-,14,-,109,34,D,7,D,635
Cyprus,160,-,-,12,-,22,D,3,-,D,13,-,-,-,-,6,-,D,-,-,-,-,8,3,D,-,-,D,-,-,-,-,18,-,37,D,-,5,-,-,4,-,D,-,-,-,9,-,-,-,-,9,-,-,-,-,3
Czech Republic,192,-,-,6,D,31,7,D,-,-,30,4,-,4,D,24,D,-,D,-,D,-,3,D,7,-,D,6,-,D,-,-,7,D,9,D,-,5,-,5,5,D,-,D,-,-,11,-,-,-,-,4,D,-,-,-,3
"Czechoslovakia, former",629,4,-,11,D,127,27,10,D,D,93,16,D,D,6,29,5,-,-,5,3,D,14,15,16,9,-,6,-,D,7,D,31,D,34,11,-,8,3,9,16,-,D,7,3,7,31,D,-,10,-,18,15,-,5,-,2
Denmark,210,D,D,3,-,52,6,D,D,D,26,5,-,D,-,3,-,D,-,-,-,-,4,3,4,D,-,3,-,D,4,D,7,D,13,-,-,D,5,D,5,-,D,3,D,4,15,-,D,4,D,4,6,-,5,-,1
Djibouti,25,-,-,D,-,D,-,-,-,-,-,3,-,-,-,D,-,-,-,-,-,D,D,D,-,D,-,-,-,-,-,-,-,-,D,-,-,5,-,-,-,-,-,-,D,-,D,-,-,-,-,3,-,-,-,-,-
Dominica,975,D,4,3,D,21,D,15,4,-,200,34,-,D,-,12,D,-,-,D,D,D,37,38,3,D,-,-,-,-,4,-,77,D,170,7,-,3,D,-,8,3,D,3,-,D,47,-,218,D,-,15,4,-,-,-,24
Dominican Republic,"35,251",8,36,48,D,142,22,428,29,54,"4,366",215,D,12,4,99,40,7,16,15,49,16,307,"3,794",93,22,3,25,D,9,34,131,"5,711",4,"14,618",193,D,153,5,8,"1,292","1,600",863,27,D,35,184,10,144,24,4,157,23,5,28,D,132
East Timor,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ecuador,"11,908",7,3,73,9,785,35,304,7,8,"1,920",116,D,8,7,428,23,20,31,16,22,D,178,178,18,68,D,18,D,6,34,15,"2,562",15,"3,909",106,7,29,8,13,187,28,24,34,-,34,242,D,-,58,5,185,25,D,24,D,64
Egypt,"4,165",9,3,39,7,626,18,39,5,16,246,52,-,-,D,122,33,12,11,5,16,3,84,102,70,50,7,29,D,5,28,10,881,8,492,63,D,125,10,25,160,D,18,28,D,129,190,D,D,D,D,289,34,3,13,-,39
El Salvador,"35,796",26,22,348,255,"17,594",174,82,19,202,"1,141",394,D,16,21,326,121,114,95,20,60,8,"1,896",823,28,78,7,61,-,111,706,9,"1,148",24,"2,433",285,-,53,34,130,115,23,42,48,9,77,"3,763",6,D,166,-,"2,344",156,12,31,-,137
Equatorial Guinea,9,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,1
Eritrea,694,-,-,9,-,147,22,D,D,8,15,41,-,-,-,10,12,D,-,4,D,D,50,24,5,30,-,13,-,D,15,-,5,-,17,6,-,26,D,12,10,-,-,-,D,7,49,-,-,D,-,77,62,-,D,-,5
Estonia,221,-,-,D,-,41,3,3,-,-,24,6,-,-,D,8,D,D,-,D,D,-,4,8,D,5,-,-,3,D,D,-,10,-,19,D,-,5,-,8,6,-,-,3,-,D,5,D,D,D,-,9,28,D,-,D,2
Ethiopia,"7,160",4,D,70,D,865,334,10,3,174,96,524,D,-,D,132,27,15,54,9,12,9,838,178,39,640,D,67,-,14,243,D,65,4,127,70,D,206,17,98,147,-,-,7,56,142,556,D,D,16,D,908,294,7,15,-,56
Fiji,"1,508",3,D,10,-,"1,224",3,D,-,-,4,5,-,11,-,3,-,-,D,-,D,-,D,3,4,D,-,-,D,-,14,-,5,-,3,5,-,5,-,38,D,-,-,D,-,-,25,-,-,10,-,4,106,-,D,-,5
Finland,549,D,D,19,D,104,19,19,-,-,84,17,-,-,-,16,3,3,D,-,-,-,11,24,8,16,-,D,3,-,4,-,25,D,32,7,-,5,D,11,10,-,D,5,-,D,27,D,-,5,-,25,22,-,8,D,3
France,"2,765",6,3,54,4,745,50,29,D,16,324,56,D,14,6,62,22,6,11,9,14,5,87,87,32,37,D,17,D,4,37,18,130,8,246,27,D,20,D,34,82,6,11,29,-,12,154,D,D,16,12,129,42,D,20,3,13
French Guiana,8,-,-,-,-,D,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
French Polynesia,15,D,-,-,-,4,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,D,-,-,-,1
Gabon,24,-,D,-,-,4,-,-,-,D,-,-,-,-,-,D,-,-,-,D,-,-,4,D,-,-,-,-,-,-,-,-,D,-,3,D,-,D,-,-,D,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-
