Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Belgium, 575 , D , D , 10 , D , 85 , 13 , 9 , D , 6 , 56 , 31 , - , D , 5 , 17 , 4 , D , 4 , D , 7 , 3 , 15 , 20 , 14 , 3 , D , 6 , D , D , 8 , D , 28 , D , 67 , 12 , - , 9 , - , 8 , 20 , D , - , 3 , D , 8 , 50 , 3 , - , 3 , - , 11 , 7 , - , D , D , 8 
Belize, 950 , 3 , D , 10 , D , 283 , 5 , D , - , - , 91 , 18 , - , D , D , 86 , 8 , - , D , D , 8 , - , 4 , 4 , 5 , 3 , 3 , 8 , - , - , 17 , - , 25 , 4 , 118 , 14 , - , D , 4 , D , 19 , - , D , 4 , - , 6 , 145 , - , - , D , - , 7 , 13 , - , D , - , 16 
Benin, 343 , - , D , D , D , 8 , 12 , D , D , D , 6 , 22 , - , - , - , 35 , 14 , 13 , 3 , D , 3 , D , 27 , 5 , 3 , 12 , - , D , - , 19 , - , - , 5 , - , 30 , 13 , D , 16 , - , - , 23 , - , - , D , - , 5 , 22 , - , - , - , - , 20 , - , - , 3 , D , 8 
Bermuda, 64 , D , - , D , - , 4 , - , D , - , - , 9 , 7 , - , D , - , - , - , - , - , D , D , - , 6 , 4 , D , - , - , - , - , - , D , - , 3 , - , 5 , D , - , D , - , - , 4 , - , - , - , - , - , 3 , - , - , D , - , 5 , - , - , - , - , - 
Bhutan," 6,920 ", - , D , 40 , - , 18 , 139 , 5 , - , - , 3 , 243 , - , - , 30 , 96 , 8 , 200 , 62 , 292 , - , - , 103 , 218 , 124 , 134 , - , 108 , - , 117 , 9 , 79 , 5 , - , 418 , 267 , 104 ," 2,058 ", - , 21 , 912 , - , 4 , - , 119 , 83 , 351 , - , D , 84 , 104 , 123 , 96 , D , 33 , - , 106 
Bolivia," 1,679 ", 4 , D , 3 , D , 137 , 15 , 18 , D , 8 , 248 , 14 , - , - , - , 29 , 4 , 3 , 4 , 3 , 7 , - , 109 , 22 , 6 , 10 , - , 10 , - , D , 9 , D , 48 , 3 , 104 , 18 , D , 7 , 7 , 7 , 11 , - , 32 , D , - , 12 , 135 , D , - , 26 , D , 528 , 8 , D , 10 , - , 46 
Bosnia and Herzegovina," 1,709 ", 5 , - , 59 , D , 50 , 21 , 56 , D , D , 121 , 115 , - , D , 18 , 124 , 27 , 128 , D , 49 , 10 , 4 , 8 , 18 , 131 , 35 , - , 162 , D , 9 , 15 , 12 , 37 , D , 74 , 25 , 10 , 37 , 4 , 8 , 52 , - , - , 4 , D , 16 , 101 , D , - , 28 , 7 , 32 , 37 , D , 24 , - , 23 
Botswana, 41 , - , - , - , - , D , - , D , - , D , 3 , 5 , - , - , - , D , D , - , - , - , - , - , 3 , 4 , - , - , - , D , - , D , - , - , - , - , 3 , D , - , D , - , - , D , - , - , - , - , - , 3 , - , - , - , - , D , D , - , - , - , D 
Brazil," 10,451 ", 59 , 5 , 85 , 12 , 973 , 132 , 273 , 17 , 25 ," 2,495 ", 482 , - , 44 , 7 , 180 , 44 , 38 , 26 , 26 , 57 , 16 , 190 ," 1,264 ", 107 , 78 , 11 , 42 , 16 , 10 , 80 , 88 , 701 , 15 , 617 , 192 , D , 108 , 32 , 50 , 198 , 7 , 38 , 70 , D , 70 , 685 , 8 , - , 178 , 7 , 193 , 133 , 8 , 49 , 3 , 202 
Brunei, 26 , - , - , D , - , 6 , - , - , - , - , - , D , - , D , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , D , - , D , - , - , - , - , D , D , - , - , - , - , - , 5 , - , - , - , - , D , D , - , - , - , D 
