Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,U.S. dependencies,Unknown
"Congo, Republic",193,-,-,D,-,23,3,3,D,3,4,7,-,-,D,D,-,-,D,-,5,13,14,D,5,-,D,-,-,-,3,5,D,12,12,-,3,-,D,4,6,D,D,5,25,4,D,8,7,-,D,-,-,-
Costa Rica,"1,161",D,D,6,D,219,9,23,D,-,217,23,3,D,20,7,-,3,3,13,-,21,32,4,7,D,5,D,D,16,D,133,D,148,30,-,5,3,7,25,8,7,D,6,61,7,D,22,10,-,11,-,11,19
Cote d'Ivoire,324,D,-,3,-,31,D,5,3,D,11,9,D,D,13,D,-,-,D,-,-,34,16,11,D,-,-,-,-,3,-,17,D,72,9,-,5,-,-,19,D,-,D,-,13,D,-,18,8,-,3,-,D,3
Croatia,"1,348",D,-,50,D,123,18,13,8,6,112,30,D,20,171,34,-,3,11,5,11,9,38,30,12,-,18,D,D,36,7,34,D,114,7,D,106,D,15,34,D,-,12,10,56,27,5,27,24,-,66,-,D,34
Cuba,"11,227",D,3,33,7,324,9,25,6,D,"8,771",62,7,D,57,11,D,5,100,46,-,23,44,59,10,D,30,-,11,151,D,474,17,216,58,D,14,3,38,38,4,5,3,13,148,3,D,49,23,D,12,-,177,125
Cyprus,134,D,-,D,-,29,-,-,-,D,4,D,-,D,D,-,-,-,D,-,-,D,5,D,D,-,-,D,-,-,-,25,-,31,4,-,D,-,D,D,-,-,-,D,8,-,-,5,D,-,-,-,-,-
Czech Republic,102,D,-,5,-,19,4,5,-,D,5,D,D,-,16,D,-,D,-,-,D,D,3,3,D,-,-,-,D,D,-,3,-,6,D,-,6,D,D,D,-,-,-,-,D,D,D,-,D,-,-,-,-,1
Czechoslovakia (former),490,D,D,6,D,99,16,8,D,4,60,7,D,-,22,3,-,-,4,6,-,8,13,9,4,-,6,-,-,7,4,29,4,44,3,-,11,4,9,24,D,-,D,6,19,D,D,13,15,D,9,-,-,-
Denmark,154,-,-,D,-,43,5,7,-,-,8,-,3,D,6,D,-,-,D,-,-,-,D,D,4,-,D,D,-,D,-,6,-,12,D,-,3,-,3,5,D,-,D,-,8,D,-,8,8,-,D,-,-,2
Dominica,543,D,D,D,D,9,3,11,3,D,58,7,D,-,3,D,-,-,D,D,-,16,36,4,D,D,4,-,-,D,-,46,-,157,6,-,D,D,D,10,D,-,-,-,32,D,-,11,3,-,-,-,84,15
Dominican Republic,"20,831",3,25,10,D,116,14,265,21,32,"1,486",73,15,D,50,40,-,11,24,26,7,127,"2,596",67,14,6,16,D,9,28,67,"2,928",3,"10,001",100,D,76,7,4,555,590,9,-,22,93,12,D,126,24,-,21,-,959,145
Ecuador,"7,091",3,3,21,5,569,15,199,8,6,654,40,10,4,248,13,D,12,12,11,3,77,133,9,42,D,3,-,6,18,9,"1,334",7,"3,010",50,-,32,10,9,87,9,4,4,6,126,25,D,114,19,3,13,-,25,66
Egypt,"4,061",5,-,25,7,801,14,43,5,4,175,27,6,4,117,20,-,9,8,17,4,59,95,79,64,6,15,-,3,8,9,696,D,640,54,-,149,3,13,193,17,9,4,174,160,D,D,196,51,10,16,-,-,42
El Salvador,"12,174",4,14,60,46,"6,361",48,42,9,107,276,68,10,11,106,31,5,17,18,18,5,523,233,8,31,D,18,D,28,204,9,433,7,948,94,D,20,10,33,35,17,5,4,25,"1,113",54,-,862,62,7,19,-,17,95
Eritrea,692,-,-,7,-,140,22,4,-,11,15,27,D,-,15,10,-,D,3,-,-,29,15,11,27,D,5,-,-,8,-,6,-,26,19,-,59,4,11,25,-,-,3,6,52,-,-,53,67,-,5,-,-,2
Estonia,104,D,D,-,-,13,3,D,-,-,D,D,-,-,7,D,-,-,D,-,-,D,3,D,D,-,-,-,-,-,-,5,-,21,4,-,4,-,6,6,D,-,-,-,D,-,-,3,10,-,-,-,-,1
Ethiopia,"4,621",D,3,24,D,736,180,13,3,71,59,193,D,-,74,14,-,28,3,5,12,346,161,49,496,-,39,-,6,121,-,47,4,103,38,D,178,12,54,70,-,7,28,56,422,7,D,534,347,D,18,-,D,49
Fiji,"1,503",-,D,3,-,"1,186",D,-,-,-,D,6,11,-,D,-,-,7,-,-,-,3,D,D,6,-,D,-,D,4,-,3,4,3,4,D,4,D,53,3,7,D,-,-,8,3,-,8,141,-,-,D,-,21
Finland,431,5,-,4,-,79,7,14,D,D,26,21,6,D,14,D,-,3,D,D,D,10,16,12,12,-,3,D,D,D,3,14,D,36,9,-,5,-,12,17,4,3,D,D,13,3,-,17,32,D,8,D,-,3
France,"1,963",9,D,28,-,602,38,44,3,14,151,22,13,4,37,13,-,5,8,15,4,53,79,17,28,D,12,D,D,9,6,93,3,217,23,D,22,6,24,37,5,5,-,12,101,10,9,83,50,D,17,D,8,15
Gambia,189,-,3,-,-,17,D,D,-,-,3,7,-,D,D,D,-,4,-,-,-,18,6,9,12,-,D,-,-,D,-,D,-,21,12,-,D,D,D,8,6,-,D,D,7,D,-,7,21,-,9,-,-,-
Georgia,443,-,-,3,-,133,4,D,-,-,7,7,-,-,19,-,-,3,-,D,-,9,9,4,D,-,-,-,-,3,D,48,D,124,3,-,D,-,4,16,D,-,-,3,5,4,D,6,17,-,-,-,-,2
Germany,"3,811",23,18,72,14,714,110,62,8,10,335,75,29,17,130,31,-,20,24,14,17,66,92,130,34,7,29,11,9,29,15,125,35,322,70,5,113,34,55,109,9,28,D,49,254,19,7,161,141,9,49,D,12,55
Ghana,"3,561",4,-,11,D,139,58,83,15,11,51,80,4,D,140,8,D,9,8,5,-,272,280,24,70,D,8,-,3,6,D,370,5,749,63,D,271,24,5,87,17,5,-,17,154,6,-,404,27,5,14,-,6,35
Greece,"1,075",-,-,7,D,132,7,31,3,4,39,8,-,D,72,7,-,-,D,D,5,29,127,19,5,D,D,D,D,7,8,78,-,273,16,-,22,D,D,49,7,6,-,6,19,3,3,33,11,D,7,D,D,12
Grenada,649,D,-,-,-,17,D,4,-,3,34,7,3,-,D,D,-,D,4,D,-,18,16,D,D,-,-,-,-,-,D,23,-,437,8,-,3,D,-,5,D,-,-,-,21,-,-,14,D,-,D,-,6,11
Guatemala,"6,250",3,8,68,13,"3,111",25,65,5,6,257,37,7,5,285,15,D,8,10,32,3,140,199,17,18,4,10,D,29,113,D,213,20,473,32,D,16,10,37,46,141,7,6,30,304,40,D,219,60,3,21,-,11,60
Guinea,137,-,-,-,-,8,-,D,D,D,4,3,-,-,D,D,-,-,-,-,-,18,3,3,D,-,-,-,D,-,-,D,D,33,4,-,12,-,-,5,7,-,-,-,7,-,-,7,5,-,D,-,D,3
Guyana,"5,543",5,D,4,D,83,D,82,5,12,480,85,7,-,13,D,-,3,5,4,D,159,44,12,79,3,4,-,3,6,D,488,D,"3,570",46,-,32,7,D,70,3,5,-,27,48,3,-,59,18,D,6,-,5,45
Haiti,"9,740",3,D,9,-,109,10,293,48,4,"3,065",161,10,D,82,21,-,5,15,21,3,130,"1,422",29,5,D,11,-,3,6,15,859,-,"2,685",40,3,32,6,5,262,59,7,-,16,56,4,-,57,18,-,8,-,13,124
Honduras,"3,953",10,3,17,4,743,29,34,D,9,740,29,5,D,98,36,-,16,8,162,-,90,126,16,17,5,13,-,20,32,5,319,9,638,66,D,23,21,7,32,12,9,-,24,300,12,D,92,41,3,10,D,14,47
Hong Kong,"4,479",4,5,16,-,"2,265",23,23,5,6,65,25,101,7,114,6,-,6,4,4,3,62,192,35,24,D,6,-,D,34,4,126,7,672,34,D,51,3,35,51,8,13,-,13,152,11,-,48,169,D,13,-,8,19
Hungary,720,-,5,11,D,191,7,26,D,D,75,3,4,D,30,D,-,D,-,D,D,12,15,5,6,D,D,-,-,17,3,55,D,99,14,-,19,D,4,18,-,D,-,3,24,D,3,25,16,-,4,-,-,5
Iceland,82,-,-,3,-,12,3,D,-,-,11,D,-,-,D,D,-,-,-,D,-,D,4,D,3,D,D,-,-,D,-,3,D,8,-,-,D,D,-,3,-,-,-,-,D,-,D,9,4,-,D,-,-,-
India,"35,962",93,6,221,62,"8,092",177,587,148,22,939,765,14,17,"3,021",242,9,142,120,97,20,859,"1,024","1,029",255,76,153,-,46,103,85,"4,214",49,"3,507",582,8,"1,057",158,197,"1,681",41,90,8,304,"3,051",44,20,"1,253",646,42,279,7,12,288
Indonesia,"1,234",D,D,14,D,678,18,7,D,D,30,11,16,D,16,7,-,6,4,3,D,22,16,11,9,D,D,-,D,17,-,27,-,55,10,-,17,4,17,30,D,4,D,4,67,4,D,35,39,-,5,-,3,9
Iran,"11,031",22,D,107,12,"6,370",82,57,9,10,210,146,10,3,209,28,D,45,41,23,7,333,198,106,51,3,33,4,12,58,7,171,13,539,70,D,116,44,77,116,14,15,-,80,619,55,3,512,234,13,32,D,3,104
Iraq,"3,273",D,-,76,-,583,10,27,D,D,24,37,D,3,245,20,-,D,22,3,D,21,35,"1,145",33,-,63,-,45,12,5,15,7,61,4,6,30,-,14,44,D,6,5,204,127,13,-,146,99,3,8,-,-,62
Ireland,"1,995",D,D,13,6,394,20,49,4,3,80,27,7,D,95,5,-,-,13,7,6,19,300,15,14,D,3,-,D,8,17,87,5,491,28,-,26,D,9,70,7,4,-,8,38,8,D,40,30,D,13,D,-,12
Israel,"2,436",3,D,16,4,652,16,27,D,D,168,29,D,-,98,9,-,4,12,6,D,66,87,34,11,D,11,-,D,29,D,145,4,606,21,D,67,4,7,77,-,7,D,15,70,D,5,35,31,-,14,D,3,28
Italy,"2,511",-,-,13,D,364,18,107,8,7,155,16,15,D,140,6,-,3,4,6,5,49,146,76,11,4,10,D,-,20,3,238,4,612,28,-,67,D,8,117,22,4,D,5,45,11,3,63,40,6,17,D,8,20
