Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown,
"Micronesia, Federated States", 67 , - , D , D , - , 5 , - , - , - , - , D , 13 , 5 , 7 , - , D , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , D , D , - , D , D , - , - , - , - , 7 , - , - , 7 , - , D , D , - , D , - , - , D , - , 4 ,
Moldova," 1,689 ", 18 , 13 , 17 , - , 305 , 27 , 18 , 4 , - , 108 , 69 , - , 4 , 3 , 76 , 12 , D , 5 , D , 13 , D , 22 , 93 , 4 , 48 , D , 16 , - , D , 27 , D , 28 , - , 131 , 66 , 4 , 19 , 5 , 71 , 41 , - , D , 16 , D , 19 , 33 , D , - , 6 , 9 , 26 , 294 , D , D , 3 , 1 ,
Monaco, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Mongolia, 437 , - , - , D , - , 159 , 26 , - , - , D , 10 , - , - , 3 , - , 70 , 9 , - , - , D , D , - , 5 , 4 , - , D , - , D , - , D , 5 , - , 3 , - , 14 , 3 , D , 6 , - , D , 8 , - , - , D , - , D , 10 , - , - , 8 , D , 49 , 24 , - , 5 , - , 1 ,
Montenegro, 222 , - , - , D , - , D , D , 4 , - , - , 7 , - , - , - , - , 11 , - , - , - , - , - , - , D , D , 34 , - , - , - , - , - , D , - , 13 , - , 132 , D , - , - , - , - , - , - , - , D , - , - , 4 , - , - , D , - , D , 3 , - , D , - , - ,
Montserrat, 45 , - , - , - , - , D , D , - , - , - , 5 , D , - , - , - , - , - , - , - , - , - , D , D , 13 , - , - , - , - , - , - , - , - , D , - , 9 , D , - , - , - , - , - , - , - , - , - , - , D , - , 6 , - , - , D , D , - , - , - , - ,
Morocco," 3,684 ", 15 , D , 25 , 7 , 201 , 48 , 84 , 17 , 9 , 377 , 62 , D , D , - , 153 , 29 , 7 , 11 , 28 , 12 , D , 86 , 476 , 36 , 22 , 11 , 12 , 5 , 5 , 19 , 12 , 233 , 6 , 478 , 148 , D , 91 , 40 , 17 , 240 , D , 19 , 30 , 4 , 23 , 152 , D , D , 6 , D , 318 , 61 , 5 , 26 , D , 5 ,
Mozambique, 51 , - , - , - , - , 6 , D , D , - , D , 6 , - , - , - , - , D , - , D , - , - , D , - , 5 , 3 , - , - , D , D , - , - , - , - , D , - , 5 , 4 , - , - , D , - , D , - , D , D , - , - , D , - , - , D , - , D , 3 , - , - , D , - ,
Namibia, 33 , D , - , - , - , 3 , D , D , D , - , 3 , D , - , - , - , D , - , - , - , - , D , - , D , - , D , - , D , D , - , - , - , D , D , D , D , - , D , - , - , D , - , - , - , D , - , D , D , - , - , D , - , - , D , - , D , - , - ,
Nepal," 5,004 ", 23 , 8 , 42 , 6 , 584 , 235 , 72 , 10 , D , 57 , 106 , - , 11 , 22 , 110 , 22 , 33 , 40 , 68 , 24 , D , 290 , 243 , 56 , 67 , 5 , 57 , D , 39 , 12 , 56 , 67 , D , 629 , 106 , 29 , 157 , 60 , 40 , 172 , - , 10 , 66 , 11 , 20 , 655 , 3 , - , 35 , 19 , 441 , 115 , 11 , 33 , 3 , 18 ,
Netherlands, 829 , 4 , D , 20 , D , 141 , 22 , 11 , D , 3 , 85 , 24 , - , D , 5 , 26 , D , 4 , 3 , 4 , 5 , 5 , 13 , 32 , 30 , 5 , 3 , 7 , 4 , 3 , 9 , D , 21 , 7 , 57 , 21 , - , 20 , D , 22 , 23 , D , 3 , 7 , - , 3 , 55 , - , D , 8 , 3 , 35 , 49 , D , 7 , D , 3 ,
Netherlands Antilles (former), 45 , - , - , - , - , - , - , D , - , - , 18 , 3 , - , - , - , D , - , D , - , - , - , - , - , 4 , D , - , - , - , - , - , - , D , - , - , 8 , - , - , D , - , - , - , - , - , - , - , - , D , - , D , - , - , - , D , - , - , - , - ,
New Caledonia, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - ,
New Zealand, 565 , - , - , 9 , D , 133 , 36 , 7 , 3 , 3 , 22 , 10 , D , 9 , 4 , 12 , 3 , 3 , D , D , 4 , D , 9 , 27 , 7 , 10 , - , 5 , 4 , D , 11 , 3 , 12 , D , 34 , 12 , - , 4 , - , 11 , 13 , - , D , 3 , - , 9 , 27 , D , - , 18 , D , 15 , 45 , - , 11 , D , - ,
Nicaragua," 4,663 ", 12 , D , 22 , 6 , 881 , 19 , 26 , - , 14 ," 2,370 ", 62 , - , 4 , D , 25 , 34 , 5 , 7 , 4 , 44 , D , 118 , 35 , 8 , 7 , 11 , 7 , - , 8 , 49 , D , 127 , 3 , 176 , 71 , - , 23 , 12 , 19 , 34 , 14 , D , 14 , D , 17 , 212 , D , - , 11 , D , 97 , 30 , D , 9 , D , 3 ,
Niger, 140 , - , - , - , D , 3 , D , D , - , D , D , D , - , - , - , D , 12 , - , - , - , D , D , 20 , D , 3 , - , - , D , - , D , - , D , D , - , 28 , 23 , - , 5 , D , - , 19 , - , - , D , - , D , D , D , - , - , D , D , D , - , - , - , - ,
Nigeria," 9,520 ", 35 , 7 , 68 , 15 , 673 , 45 , 77 , 25 , 62 , 226 , 652 , - , D , D , 505 , 192 , 14 , 22 , 24 , 40 , 11 ," 1,250 ", 245 , 161 , 161 , 18 , 105 , D , 12 , 34 , 18 , 565 , 11 , 904 , 193 , 31 , 136 , 87 , 22 , 251 , - , 55 , 53 , 5 , 82 ," 2,038 ", 8 , - , 6 , 5 , 198 , 93 , 8 , 48 , 3 , 16 ,
Niue, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - ,
Northern Mariana Islands, D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Norway, 93 , D , - , D , - , 19 , 5 , D , - , - , 6 , D , - , - , - , 5 , D , - , - , D , - , D , 3 , D , - , - , - , - , - , - , - , - , - , D , 4 , 4 , D , D , - , 3 , 3 , - , - , D , - , 3 , 11 , - , - , D , - , D , 8 , - , D , - , - ,
Oman, 58 , - , - , - , D , 7 , - , D , - , - , D , D , - , - , - , 3 , D , D , D , 3 , - , - , D , D , 3 , 3 , - , D , - , - , - , - , D , - , 6 , - , - , D , - , - , D , - , - , D , - , D , 12 , - , - , - , - , 3 , D , - , - , - , - ,
Pakistan," 11,729 ", 44 , 6 , 65 , 36 ," 1,469 ", 30 , 210 , 48 , 15 , 420 , 341 , D , 8 , 4 , 773 , 81 , 27 , 42 , 27 , 53 , 7 , 526 , 219 , 248 , 62 , 10 , 81 , - , 9 , 48 , 25 , 779 , 16 ," 2,028 ", 195 , 9 , 131 , 81 , 29 , 340 , D , 19 , 31 , - , 45 ," 1,980 ", D , D , 26 , - , 841 , 164 , 8 , 60 , - , 8 ,
Palau, 43 , - , D , - , - , 5 , 3 , - , - , - , D , 3 , 5 , 3 , - , D , - , - , D , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , D , D , D , - , D , 3 , - , - , - , D , - , D , - , D , D , D , - , D , 3 , - , - , - , 1 ,
Panama," 1,458 ", 9 , D , 9 , 5 , 131 , 12 , 4 , D , D , 330 , 74 , - , 5 , D , 20 , 8 , D , 5 , 7 , 17 , D , 41 , 31 , 13 , 4 , 7 , 7 , D , D , 16 , 4 , 47 , 6 , 258 , 36 , - , 16 , 6 , D , 23 , 7 , D , 15 , - , 22 , 139 , D , D , 11 , 3 , 63 , 19 , D , 5 , - , 2 ,
Papua New Guinea, 19 , D , - , - , - , 3 , - , - , - , - , D , - , D , - , D , D , D , - , D , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , D , - , - , - , - , D , D , - , - , - , D , D , - , - , - , - , D , - , - , - , - , - , - ,
Paraguay, 396 , - , - , D , 4 , 29 , 6 , 10 , 4 , D , 61 , 3 , - , - , D , D , D , D , 4 , D , D , D , 25 , 4 , D , D , - , D , - , D , D , - , 37 , 4 , 125 , 6 , - , D , - , D , 6 , - , - , D , D , D , 16 , - , - , 6 , - , 13 , 6 , - , D , - , - ,
Peru," 11,319 ", 22 , 9 , 74 , 20 ," 1,504 ", 151 , 361 , 16 , 22 ," 2,587 ", 231 , - , 22 , 23 , 156 , 46 , 17 , 24 , 25 , 21 , 12 , 417 , 158 , 39 , 37 , 12 , 36 , 3 , 16 , 110 , 11 ," 1,667 ", 16 ," 1,289 ", 196 , D , 94 , 51 , 65 , 142 , 34 , 26 , 69 , 6 , 40 , 445 , D , D , 199 , 7 , 576 , 128 , 14 , 46 , 8 , 15 ,
Philippines," 41,285 ", 105 , 300 , 634 , 80 ," 17,215 ", 258 , 218 , 47 , 37 ," 1,530 ", 361 , 578 ," 2,019 ", 73 ," 1,850 ", 239 , 66 , 139 , 111 , 114 , 31 , 903 , 298 , 388 , 184 , 89 , 203 , 35 , 52 ," 1,690 ", 50 ," 1,847 ", 100 ," 1,893 ", 401 , 41 , 315 , 203 , 346 , 383 , 3 , 45 , 257 , 14 , 203 ," 2,005 ", 56 , 85 , 107 , 12 ," 1,000 "," 1,753 ", 35 , 139 , 21 , 124 ,
Poland," 7,198 ", 13 , 5 , 62 , D , 292 , 75 , 408 , 10 , 11 , 288 , 40 , - , 7 , 6 ," 2,296 ", 29 , 4 , 7 , 7 , 6 , 8 , 67 , 194 , 134 , 14 , 4 , 24 , 5 , D , 24 , 16 , 914 , 7 ," 1,451 ", 64 , 5 , 71 , 7 , 17 , 203 , D , 20 , 30 , 3 , 25 , 95 , - , - , 7 , 4 , 65 , 88 , 4 , 47 , - , 10 ,
Portugal," 1,665 ", - , - , 4 , D , 150 , D , 85 , - , D , 61 , 7 , - , D , 5 , 5 , 3 , - , D , D , 3 , D , 31 , 436 , 3 , D , 4 , D , - , - , 3 , 13 , 467 , - , 145 , 3 , - , 3 , D , 3 , 33 , D , 98 , 7 , - , D , 19 , D , - , D , - , 39 , 8 , - , D , - , 2 ,
Qatar, 98 , D , - , D , - , 18 , - , D , - , - , 6 , D , - , - , - , 10 , - , - , D , - , - , - , D , - , 13 , D , - , - , - , D , - , D , 5 , - , 3 , 4 , - , 4 , - , - , 3 , - , - , - , - , D , 9 , - , - , - , - , 6 , D , - , D , - , - ,
Romania," 3,379 ", 4 , 4 , 112 , 15 , 503 , 41 , 53 , 11 , 12 , 280 , 146 , - , 6 , 13 , 341 , 32 , 8 , 7 , 7 , 23 , 7 , 57 , 72 , 202 , 18 , 6 , 18 , 4 , 5 , 55 , 16 , 126 , 7 , 271 , 62 , 10 , 97 , 9 , 83 , 100 , D , D , 34 , - , 28 , 160 , - , D , 11 , D , 79 , 186 , D , 24 , 3 , 4 ,
Russia," 6,067 ", 24 , 28 , 42 , 4 ," 1,035 ", 139 , 55 , 8 , 15 , 425 , 135 , D , 20 , 27 , 227 , 29 , 19 , 19 , 28 , 13 , 15 , 160 , 278 , 78 , 82 , 8 , 43 , 4 , 15 , 60 , 9 , 307 , 8 ," 1,022 ", 95 , D , 101 , 46 , 125 , 211 , D , 15 , 74 , D , 35 , 240 , 3 , D , 31 , 6 , 165 , 471 , 5 , 41 , 3 , 12 ,
Rwanda, 369 , D , - , 30 , D , 8 , 9 , D , - , D , 9 , 10 , - , - , D , 17 , 6 , 7 , - , 9 , - , 18 , 7 , 8 , 20 , 3 , - , 9 , - , D , D , 7 , 5 , - , 16 , 8 , 6 , 19 , D , 4 , 14 , - , D , D , D , 13 , 60 , D , - , 11 , D , 5 , 9 , - , 4 , - , 1 ,
Saint Helena, D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Saint Kitts and Nevis, 345 , 3 , D , - , D , 4 , - , 8 , - , - , 51 , 15 , - , - , - , 4 , D , - , - , - , D , D , 9 , 12 , - , D , - , D , - , - , D , D , 9 , - , 86 , 4 , - , - , D , - , 8 , 3 , 4 , D , - , 3 , 15 , D , 85 , - , - , 4 , D , - , - , - , 1 ,
Saint Lucia, 791 , - , D , D , - , 16 , D , 32 , D , 3 , 102 , 27 , - , - , - , 5 , D , - , 3 , D , 8 , - , 24 , 18 , - , - , D , - , - , - , D , D , 31 , D , 357 , 7 , D , 5 , D , D , 11 , - , D , 5 , - , - , 35 , D , 62 , - , - , 13 , D , - , 3 , - , 1 ,
Saint Vincent and the Grenadines, 500 , D , - , - , - , 7 , D , 8 , D , D , 39 , 10 , - , D , - , 3 , 3 , - , - , D , D , D , 11 , 14 , D , - , - , D , - , - , D , - , 10 , - , 317 , 7 , - , D , D , - , 18 , D , - , D , - , D , 8 , - , 5 , D , D , 8 , D , D , - , - , 2 ,
Samoa, 192 , - , 16 , 3 , D , 50 , D , D , - , - , 3 , D , - , 31 , - , - , - , - , - , D , - , - , 3 , - , - , - , - , D , D , - , 3 , - , - , - , - , - , - , - , D , 5 , - , - , - , - , - , D , D , - , - , 28 , - , 3 , 33 , - , D , - , 2 ,
San Marino, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Sao Tome and Principe, 7 , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Saudi Arabia, 869 , D , D , 12 , 3 , 140 , 10 , 7 , D , D , 50 , 21 , - , - , - , 71 , 6 , 8 , 5 , 4 , D , D , 28 , 22 , 51 , 14 , 3 , 7 , - , 4 , D , - , 44 , D , 69 , 28 , - , 26 , 7 , 13 , 25 , - , - , 5 , - , 9 , 93 , - , - , 4 , - , 42 , 22 , D , D , D , 2 ,
Senegal, 969 , 7 , D , 6 , D , 36 , 9 , 8 , D , 9 , 20 , 64 , - , - , - , 20 , 16 , D , D , 25 , D , - , 64 , 14 , 29 , 9 , D , 12 , D , D , 6 , - , 45 , - , 263 , 40 , D , 74 , D , D , 20 , - , 34 , 7 , - , 15 , 50 , D , D , - , - , 24 , 17 , - , 5 , - , 2 ,
Serbia, 532 , D , D , 15 , - , 60 , 4 , 7 , - , D , 64 , 9 , - , 4 , D , 107 , 5 , D , D , D , - , D , 13 , 12 , 16 , 5 , - , 8 , - , - , 16 , - , 27 , - , 53 , 6 , - , 17 , D , 5 , 16 , - , - , D , - , 4 , 14 , - , - , 3 , - , 14 , 10 , - , 6 , - , - ,
Serbia and Montenegro (former)," 1,164 ", D , D , 21 , D , 93 , 8 , 32 , - , 7 , 67 , 26 , - , 4 , 3 , 103 , 14 , 6 , 3 , 5 , D , 3 , 9 , 23 , 111 , 15 , D , 15 , - , D , 12 , 4 , 61 , 5 , 319 , 12 , 6 , 23 , D , D , 28 , D , D , 4 , D , 9 , 29 , - , - , 5 , D , 15 , 26 , D , 16 , D , 2 ,
Seychelles, 17 , - , - , D , - , D , D , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , 4 , - , - , - , D , D , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Sierra Leone," 1,662 ", 3 , D , 16 , - , 89 , 5 , 3 , 8 , 15 , 15 , 57 , - , - , - , 14 , 14 , 7 , - , D , D , D , 380 , 49 , 23 , 29 , D , 11 , - , - , 4 , D , 109 , D , 188 , 58 , 11 , 92 , - , 4 , 135 , - , 3 , 5 , - , 9 , 81 , - , - , 4 , - , 171 , 31 , 3 , 4 , - , 2 ,
Singapore, 308 , - , - , 3 , D , 98 , 3 , 4 , - , - , 16 , 5 , - , 3 , - , 10 , 3 , - , - , - , D , D , 3 , 10 , D , - , - , 3 , - , D , 4 , D , 14 , - , 22 , 3 , - , 5 , D , 7 , 6 , - , - , D , - , 3 , 25 , D , D , 5 , - , 8 , 30 , - , D , - , - ,
Sint Maarten, 33 , - , - , - , - , D , - , D , - , - , 10 , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , D , - , 10 , D , - , - , - , - , D , D , - , - , - , - , - , - , 3 , - , - , D , - , - , - , - , - ,
Slovakia, 428 , - , - , 3 , D , 44 , 9 , 15 , D , D , 47 , 5 , - , D , - , 22 , 3 , D , D , - , - , - , 5 , 10 , 6 , D , - , - , - , - , 6 , - , 89 , - , 66 , 10 , - , 9 , D , D , 17 , - , - , 4 , D , D , 18 , - , - , 3 , - , 8 , 8 , D , 5 , - , - ,
Slovenia, 63 , - , - , - , - , 6 , D , 4 , - , D , 8 , D , - , D , - , D , D , - , - , - , - , - , D , D , D , - , D , - , - , - , D , - , 4 , - , 11 , D , - , D , - , D , D , - , - , - , - , D , 3 , - , - , D , - , - , 6 , - , D , - , 1 ,
Somalia," 3,998 ", 3 , 4 , 87 , - , 103 , 119 , 5 , - , D , 7 , 44 , - , D , 16 , 45 , 24 , 56 , 52 , 60 , - , 104 , 14 , 99 , 46 ," 1,236 ", - , 135 , - , 140 , D , 18 , D , 4 , 92 , 36 , 103 , 429 , 7 , 98 , 45 , - , - , D , 18 , 67 , 90 , - , - , 42 , 25 , 67 , 387 , - , 50 , 3 , 9 ,
South Africa," 2,197 ", 11 , 4 , 36 , 7 , 355 , 90 , 29 , - , 7 , 218 , 113 , - , 12 , 15 , 57 , 32 , 10 , 9 , 19 , 10 , 12 , 49 , 54 , 34 , 39 , D , 23 , 7 , 7 , 15 , 6 , 66 , 7 , 117 , 101 , 6 , 40 , 9 , 40 , 49 , - , 10 , 36 , 4 , 32 , 188 , D , - , 15 , 3 , 82 , 79 , 4 , 20 , - , 4 ,
South Sudan, 101 , - , - , D , - , D , D , - , - , D , - , D , - , - , - , - , D , 14 , - , D , D , 4 , D , 3 , 4 , 3 , - , 6 , - , 24 , D , - , - , - , - , D , D , D , D , - , 3 , - , - , - , 4 , 4 , 6 , - , - , - , - , 3 , 3 , - , - , - , - ,
Soviet Union (former)," 2,268 ", 4 , 14 , 22 , D , 426 , 41 , 21 , 4 , 8 , 172 , 48 , - , 4 , 7 , 113 , 21 , 5 , 8 , 3 , 10 , 6 , 64 , 108 , 40 , 30 , D , 25 , D , 5 , 20 , 25 , 128 , D , 336 , 27 , 3 , 47 , 6 , 40 , 79 , - , 3 , 11 , 4 , 16 , 79 , D , D , 8 , 4 , 52 , 132 , 6 , 22 , - , 3 ,
Spain," 1,515 ", 6 , D , 12 , 4 , 209 , 16 , 25 , - , 14 , 298 , 27 , - , 4 , 4 , 54 , 8 , - , D , 4 , 3 , D , 40 , 54 , 16 , 11 , 5 , 9 , 3 , 6 , 9 , 4 , 126 , 6 , 176 , 28 , - , 12 , 5 , 11 , 26 , 34 , 6 , 13 , D , 7 , 99 , - , - , 13 , D , 48 , 39 , - , 10 , - , 4 ,
Sri Lanka," 1,497 ", - , 4 , 14 , - , 400 , 6 , 19 , 6 , 3 , 45 , 37 , - , D , D , 43 , 5 , D , 10 , 6 , 6 , - , 102 , 46 , 27 , 16 , 6 , 7 , - , D , 28 , 3 , 100 , - , 242 , 8 , 8 , 24 , 6 , 13 , 20 , - , 5 , 13 , - , 8 , 117 , D , - , 4 , - , 36 , 34 , 3 , 9 , - , 2 ,
Sudan," 1,776 ", 6 , 6 , 67 , - , 101 , 55 , 13 , 3 , 8 , 32 , 48 , - , D , D , 45 , 11 , 94 , 10 , 9 , 7 , 16 , 50 , 27 , 36 , 42 , 7 , 34 , D , 111 , 15 , 12 , 22 , D , 171 , 79 , 18 , 37 , 5 , 8 , 70 , - , D , 11 , 25 , 56 , 138 , - , - , 12 , 3 , 161 , 64 , 3 , 13 , - , 8 ,
Suriname, 164 , - , - , D , - , 5 , - , D , - , - , 52 , 4 , - , - , - , D , - , - , - , - , D , - , D , 5 , D , - , - , - , - , - , - , D , 9 , - , 68 , D , - , D , D , - , 4 , D , - , - , - , - , 5 , - , - , - , - , - , - , - , - , - , - ,
Swaziland, 8 , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - ,
Sweden, 795 , 5 , 3 , 16 , D , 213 , 16 , 16 , - , 5 , 62 , 15 , - , 6 , 3 , 16 , 8 , D , 3 , D , D , 3 , 11 , 25 , 18 , 17 , 3 , 7 , D , D , 6 , D , 30 , D , 89 , 24 , D , 16 , D , 20 , 20 , - , D , 10 , - , 5 , 32 , - , D , 6 , - , 11 , 27 , D , 9 , - , 2 ,
Switzerland, 375 , - , 4 , 6 , D , 71 , 12 , 9 , - , D , 35 , 10 , - , 6 , D , 11 , 3 , D , D , - , D , - , 5 , 14 , 8 , D , - , D , D , - , 5 , D , 17 , D , 46 , 4 , - , 6 , 4 , 6 , 7 , - , - , 3 , D , 3 , 21 , - , - , 5 , 4 , 13 , 15 , - , 4 , - , - ,
Syria," 2,043 ", 9 , D , 26 , 3 , 599 , 9 , 15 , D , D , 113 , 28 , - , - , - , 165 , 18 , 4 , 10 , 3 , 5 , D , 28 , 92 , 119 , 12 , 3 , 12 , - , 3 , 14 , D , 132 , 3 , 129 , 14 , 5 , 61 , 21 , 15 , 103 , - , 20 , 7 , D , 8 , 125 , - , - , 7 , D , 49 , 29 , 6 , 9 , - , D ,
Taiwan," 4,043 ", 7 , D , 25 , 9 ," 1,836 ", 35 , 23 , 7 , 5 , 86 , 77 , D , 26 , 6 , 84 , 18 , 6 , 14 , 6 , 5 , D , 77 , 77 , 50 , 24 , D , 26 , 3 , 4 , 48 , 11 , 164 , 10 , 351 , 48 , - , 44 , 22 , 54 , 55 , - , 9 , 13 , - , 19 , 292 , - , D , 22 , D , 85 , 228 , - , 20 , 3 , 2 ,
Tajikistan, 212 , - , - , D , - , 21 , 12 , D , - , D , 6 , 8 , - , D , - , 5 , - , - , 3 , - , - , - , 3 , 5 , D , 3 , - , D , - , 10 , D , - , 10 , - , 60 , D , D , D , D , 5 , 14 , - , - , D , - , - , 4 , - , - , D , - , 11 , 13 , - , D , - , - ,
Tanzania, 639 , 6 , - , 6 , D , 48 , 5 , D , D , 10 , 30 , 29 , - , - , 6 , 19 , 5 , 15 , 20 , 3 , - , - , 38 , 34 , 18 , 13 , 3 , 9 , - , 3 , D , D , 14 , 12 , 33 , 12 , D , 31 , D , 5 , 27 , - , 4 , 11 , 9 , D , 85 , - , - , D , - , 21 , 31 , D , 6 , - , 2 ,
Thailand," 5,211 ", 37 , 37 , 78 , 20 ," 1,334 ", 86 , 50 , D , 7 , 274 , 84 , 3 , 46 , 27 , 139 , 59 , 50 , 30 , 25 , 17 , 16 , 90 , 151 , 65 , 341 , 8 , 54 , 7 , 42 , 121 , 7 , 51 , 10 , 266 , 139 , 6 , 68 , 45 , 76 , 76 , 3 , 17 , 32 , 16 , 38 , 323 , 10 , D , 31 , 4 , 177 , 261 , 7 , 220 , 6 , 20 ,
Timor-Leste, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - ,
Togo," 1,099 ", 8 , - , 23 , D , 15 , 17 , 21 , 4 , 8 , 20 , 84 , - , - , D , 83 , 13 , 29 , 7 , 8 , D , D , 154 , 25 , 5 , 60 , 3 , 14 , D , 49 , D , D , 34 , D , 143 , 36 , 3 , 32 , 3 , 3 , 38 , - , D , 10 , 3 , 12 , 46 , D , D , 7 , D , 40 , 9 , - , 9 , - , 5 ,
Tonga, 337 , - , 6 , 10 , - , 164 , 3 , - , - , - , 4 , D , - , 40 , 5 , D , - , D , - , - , - , - , - , - , D , - , - , - , - , - , 6 , - , - , - , D , - , - , D , - , 10 , D , - , - , - , - , - , 9 , - , - , 38 , - , D , 28 , - , D , D , 2 ,
Trinidad and Tobago," 4,867 ", 13 , D , 16 , D , 95 , 7 , 57 , 9 , 20 , 777 , 144 , - , 3 , - , 28 , 12 , 3 , D , 8 , 16 , D , 238 , 146 , 13 , 7 , 6 , D , D , D , 9 , 5 , 318 , D ," 2,246 ", 59 , 4 , 30 , 15 , 8 , 157 , 4 , 5 , 32 , D , 21 , 195 , D , 11 , 3 , D , 79 , 15 , 3 , 3 , D , 9 ,
Tunisia, 352 , D , D , D , - , 68 , D , 3 , - , 5 , 46 , D , - , D , D , 12 , D , - , 3 , D , 4 , D , 13 , 4 , 8 , 7 , - , D , - , - , 3 , - , 13 , - , 54 , 3 , - , 10 , D , 4 , 28 , - , - , 4 , D , - , 15 , - , - , D , - , 18 , 9 , - , D , - , - ,
Turkey," 3,201 ", 18 , D , 26 , 11 , 395 , 27 , 64 , 18 , 11 , 209 , 101 , - , 4 , 4 , 131 , 20 , 8 , 11 , 7 , 25 , 5 , 81 , 133 , 38 , 17 , D , 14 , - , 4 , 26 , 11 , 447 , 3 , 523 , 56 , D , 62 , 13 , 21 , 135 , 3 , 4 , 19 , - , 21 , 233 , 3 , D , 12 , D , 124 , 73 , 3 , 14 , - , 6 ,
Turkmenistan, 102 , - , - , - , D , 9 , - , D , - , - , 5 , D , - , - , - , 3 , - , - , - , D , D , - , 3 , 6 , D , - , - , D , - , - , 3 , - , 6 , D , 21 , - , D , - , D , D , 7 , - , - , D , - , - , D , D , - , - , - , 7 , 7 , - , 4 , D , - ,
Turks and Caicos Islands, 31 , - , - , - , - , - , - , - , - , - , 19 , D , - , - , - , D , - , - , - , - , - , - , D , D , - , D , - , - , - , - , - , - , D , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - ,
Tuvalu, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
