Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Bhutan," 3,939 ", - , D , 13 , - , 16 , 97 , D , D , - , - , 124 , - , - , 9 , 25 , - , 54 , 6 , 180 , - , - , 39 , 95 , 82 , 53 , - , 51 , - , 90 , D , 44 , D , D , 257 , 79 , 198 ," 1,177 ", - , 26 , 708 , - , D , - , 69 , 55 , 130 , - , - , 10 , 53 , 59 , 64 , - , 28 , - , 39 
Bolivia," 1,601 ", D , - , 4 , 6 , 142 , 9 , 15 , D , 19 , 215 , 9 , - , - , D , 19 , 5 , - , D , 6 , 7 , D , 113 , 32 , 4 , D , 3 , 10 , - , - , 13 , D , 49 , 3 , 101 , 11 , - , 7 , 3 , 7 , 11 , 3 , 50 , 5 , - , D , 102 , D , - , 13 , 3 , 558 , 9 , D , 7 , - , 14 
Bosnia and Herzegovina," 1,197 ", - , - , 59 , D , 70 , 13 , 67 , D , 5 , 121 , 53 , - , - , 17 , 84 , 17 , 66 , - , 53 , 4 , 3 , 7 , 12 , 41 , 13 , D , 99 , - , 6 , 14 , 8 , 22 , D , 69 , 24 , 10 , 29 , - , 9 , 40 , - , D , D , D , 12 , 43 , - , - , 10 , 5 , 33 , 25 , D , 11 , - , 13 
Botswana, 47 , - , - , D , - , 5 , D , D , D , - , 3 , - , - , D , - , - , 3 , D , - , - , - , - , 3 , 3 , - , D , - , D , - , D , - , - , - , - , 7 , D , - , - , - , - , D , - , - , - , - , D , 4 , - , - , - , - , D , D , - , D , - , - 
Brazil," 12,448 ", 30 , 5 , 155 , 14 ," 1,476 ", 145 , 452 , 17 , 29 ," 3,088 ", 343 , D , 69 , 25 , 162 , 72 , 28 , 34 , 32 , 39 , 10 , 214 ," 1,661 ", 135 , 63 , 7 , 60 , 12 , 12 , 77 , 102 , 831 , 10 , 747 , 207 , D , 113 , 40 , 73 , 215 , 8 , 50 , 83 , 3 , 55 , 716 , 10 , - , 160 , 18 , 207 , 175 , 6 , 55 , D , 93 
Brunei, 20 , - , - , - , - , 9 , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , D , - , D , - , D 
Bulgaria," 2,134 ", 3 , 4 , 56 , 3 , 273 , 45 , 22 , 12 , 11 , 234 , 47 , - , 10 , 5 , 402 , 7 , D , 7 , 10 , 4 , 9 , 56 , 154 , 18 , 9 , - , 34 , 8 , D , 80 , 4 , 82 , D , 155 , 23 , D , 19 , 3 , 9 , 61 , D , 4 , 11 , D , 8 , 54 , - , - , 11 , - , 53 , 70 , - , 20 , 4 , 12 
Burkina Faso, 510 , - , - , 4 , - , 6 , 5 , D , D , 4 , 9 , 12 , - , - , - , 9 , 5 , - , 5 , 4 , D , - , 29 , 3 , 3 , - , - , 3 , D , 24 , - , D , 35 , D , 203 , 6 , D , 18 , D , D , 32 , - , 3 , - , - , D , 42 , 5 , - , D , D , 6 , 8 , - , 4 , - , 5 
Burma," 8,195 ", 4 , D , 129 , 50 , 529 , 111 , 22 , 4 , D , 157 , 182 , D , 13 , 15 , 207 ," 1,082 ", 349 , 105 , 268 , 23 , D , 251 , 63 , 199 , 722 , 7 , 101 , 7 , 242 , 11 , 5 , 21 , 9 , 501 , 285 , D , 131 , 261 , 81 , 179 , - , 4 , 37 , 87 , 105 , 983 , D , - , 43 , 9 , 48 , 133 , 4 , 303 , D , 104 
Burundi, 382 , D , - , 41 , - , 6 , 3 , D , - , - , 8 , D , - , - , 3 , 11 , 3 , 21 , 3 , 13 , - , 48 , 12 , 9 , 6 , 5 , - , 5 , - , - , - , 6 , 4 , - , 21 , 10 , 9 , 12 , D , 4 , 7 , - , - , D , 6 , 12 , 59 , D , - , 8 , - , 13 , 3 , - , D , - , D 
