Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown,
Cayman Islands, 30 , - , - , - , - , D , D , - , - , - , 11 , D , - , - , - , - , D , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , 6 , - , - , - , D , - , - , - , - , - , - , - , 3 , - , - , D , - , D , - , - , - , - , - ,
Central African Republic, 52 , - , - , 7 , - , D , 4 , - , - , D , D , D , - , - , - , - , - , - , - , - , D , 5 , 6 , D , D , - , - , - , - , - , - , - , - , - , 4 , D , - , 6 , - , - , - , - , - , - , - , D , D , - , - , D , - , 3 , D , - , - , - , 1 ,
Chad, 84 , - , - , 3 , - , 3 , D , D , D , - , D , - , - , - , - , D , 10 , - , - , D , - , - , 11 , - , - , - , - , D , - , D , - , - , 8 , - , 15 , D , - , - , D , D , 3 , - , - , - , - , - , 7 , - , - , - , - , 7 , - , - , - , - , - ,
Chile," 1,486 ", 4 , D , 19 , D , 195 , 32 , 28 , D , 5 , 366 , 43 , - , 3 , - , 24 , 7 , 6 , D , - , 3 , D , 50 , 44 , 6 , 11 , D , 3 , D , D , 15 , D , 82 , 5 , 162 , 34 , D , 11 , D , 18 , 46 , 13 , 3 , 9 , D , 8 , 78 , - , - , 55 , D , 35 , 35 , D , 5 , - , 2 ,
"China, People's Republic"," 31,241 ", 112 , 20 , 242 , 45 ," 8,890 ", 302 , 292 , 56 , 34 , 673 , 591 , 29 , 253 , 38 , 828 , 156 , 64 , 84 , 74 , 108 , 25 , 680 ," 1,322 ", 328 , 211 , 64 , 174 , 10 , 33 , 331 , 42 , 840 , 41 ," 8,795 ", 385 , 16 , 390 , 115 , 302 , 909 , 20 , 60 , 189 , 9 , 179 ," 1,434 ", 5 , 8 , 94 , 16 , 477 , 609 , 33 , 168 , 6 , 30 ,
Colombia," 17,207 ", 55 , 6 , 109 , 16 , 994 , 98 , 348 , 22 , 40 ," 6,466 ", 681 , - , 15 , 7 , 259 , 56 , 15 , 14 , 27 , 55 , 7 , 232 , 522 , 44 , 32 , 16 , 40 , 6 , 22 , 92 , 35 ," 1,746 ", 16 ," 2,200 ", 326 , D , 81 , 49 , 33 , 249 , 116 , 126 , 224 , 4 , 84 ," 1,102 ", 5 , D , 87 , 4 , 264 , 77 , 7 , 44 , D , 26 ,
Comoros, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - ,
"Congo, Democratic Republic"," 1,490 ", 8 , D , 49 , - , 61 , 41 , 26 , - , 5 , 25 , 80 , - , D , 19 , 120 , 8 , 38 , 5 , 67 , 5 , 20 , 88 , 69 , 8 , 18 , - , 28 , - , 5 , 4 , 15 , 5 , 3 , 98 , 114 , 11 , 29 , 4 , 13 , 36 , - , D , 5 , 13 , 14 , 215 , D , - , 16 , 6 , 45 , 35 , D , 7 , - , 2 ,
"Congo, Republic", 473 , 3 , 4 , 32 , - , 14 , 18 , 8 , - , D , 11 , 11 , - , - , 6 , 25 , 4 , 7 , 3 , 7 , 3 , 4 , 14 , 17 , 8 , D , - , 8 , - , 16 , 5 , - , 8 , D , 53 , 27 , 8 , 13 , 6 , - , 14 , - , D , D , D , 14 , 55 , - , - , 8 , 5 , 10 , 12 , - , D , D , 1 ,
Cook Islands, D , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
