Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories1,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown,
Tonga, 352 , - , 8 , 8 , D , 157 , D , - , D , - , D , - , - , 62 , 7 , - , - , - , - , - , D , - , - , - , - , - , - , - , - , D , 9 , - , - , - , - , D , - , D , D , 4 , D , - , - , - , - , - , 20 , - , - , 57 , - , D , 6 , - , - , D , 1 ,
Trinidad and Tobago," 4,869 ", 11 , - , 21 , 7 , 88 , 11 , 68 , 18 , 11 , 792 , 189 , - , D , - , 49 , 11 , D , 5 , 10 , 20 , 4 , 233 , 115 , 17 , 9 , 3 , 4 , D , D , 6 , 6 , 311 , 4 ," 2,211 ", 65 , D , 25 , 8 , D , 146 , D , 16 , 29 , D , 25 , 178 , 5 , 15 , D , 5 , 81 , 10 , D , 6 , - , 6 ,
Tunisia, 314 , D , - , 4 , D , 53 , 3 , D , 3 , 3 , 42 , 8 , D , - , - , 10 , 4 , D , 3 , - , D , - , 15 , 6 , 9 , 5 , - , D , - , D , D , - , 10 , - , 27 , 8 , - , 5 , D , D , 21 , - , D , D , - , 6 , 22 , D , - , - , - , 21 , 5 , - , 4 , - , - ,
Turkey," 3,150 ", 13 , 4 , 39 , 5 , 472 , 23 , 62 , 22 , 15 , 235 , 77 , - , 3 , 3 , 111 , 10 , 9 , 13 , 4 , 16 , 3 , 77 , 96 , 36 , 19 , D , 16 , D , 11 , 19 , 10 , 438 , 3 , 555 , 59 , D , 68 , 19 , 19 , 102 , D , 9 , 17 , - , 30 , 196 , D , D , 11 , D , 116 , 48 , 5 , 15 , - , 7 ,
Turkmenistan, 153 , - , D , D , - , 17 , D , 3 , D , - , 7 , 4 , - , D , - , 9 , - , - , - , - , - , - , 3 , 7 , D , - , - , 4 , - , - , D , - , D , D , 49 , - , - , D , - , 3 , 3 , - , - , - , - , D , 8 , - , - , 6 , - , D , 9 , - , 7 , - , - ,
Turks and Caicos Islands, 33 , - , - , D , - , - , - , - , - , - , 22 , D , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , 4 , - , - , D , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Tuvalu, D , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Uganda, 817 , 6 , - , 8 , D , 125 , 18 , 12 , 3 , 4 , 20 , 26 , - , 3 , D , 40 , 9 , D , 4 , D , D , D , 67 , 192 , 17 , 16 , D , 5 , - , D , 7 , D , 19 , D , 23 , 7 , - , 17 , 9 , D , 15 , - , D , 9 , - , D , 67 , - , - , 3 , D , 17 , 16 , D , 8 , D , 1 ,
Ukraine," 8,926 ", 34 , 34 , 41 , 6 ," 1,534 ", 149 , 123 , 12 , 6 , 410 , 182 , D , 13 , 49 , 599 , 55 , 14 , 19 , 43 , 14 , 5 , 71 , 256 , 206 , 89 , 5 , 107 , 10 , 25 , 33 , 17 , 337 , 9 ," 1,353 ", 171 , 7 , 246 , 18 , 421 , 485 , 3 , 11 , 141 , 27 , 79 , 165 , - , D , 32 , D , 133 ," 1,041 ", 6 , 63 , D , 11 ,
United Arab Emirates, 443 , D , D , 8 , - , 66 , D , 5 , - , D , 27 , 19 , - , D , - , 24 , 6 , D , 4 , D , D , D , 6 , 12 , 19 , 10 , - , 6 , - , - , D , D , 16 , D , 53 , 11 , D , 14 , 6 , D , 9 , - , D , D , - , 5 , 67 , - , - , D , - , 25 , D , - , 3 , - , 1 ,
United Kingdom," 10,095 ", 71 , 11 , 220 , 30 ," 1,697 ", 275 , 228 , 23 , 45 ," 1,185 ", 383 , 3 , 49 , 27 , 288 , 93 , 29 , 40 , 33 , 49 , 51 , 211 , 416 , 228 , 72 , 12 , 47 , 18 , 17 , 83 , 53 , 381 , 26 , 875 , 317 , 6 , 145 , 61 , 142 , 296 , 5 , 39 , 111 , 8 , 103 , 807 , D , D , 59 , 36 , 271 , 271 , 18 , 88 , 14 , 26 ,
United States, 75 , - , - , D , - , 9 , 3 , - , - , - , 6 , 4 , - , D , - , D , D , D , - , - , D , - , 4 , 3 , - , - , - , - , - , - , - , - , 4 , - , 15 , - , - , - , - , - , D , - , - , D , - , - , 5 , - , - , D , D , 5 , 3 , - , - , - , - ,
Uruguay, 902 , - , - , 5 , - , 60 , 3 , 17 , D , 4 , 313 , 54 , - , D , D , 14 , D , D , D , - , 7 , - , 12 , 34 , 3 , - , 3 , 4 , D , - , 7 , 7 , 116 , - , 85 , 13 , - , 10 , D , D , 9 , 8 , - , 12 , D , 6 , 31 , - , - , 22 , - , 22 , 4 , - , D , - , - ,
Uzbekistan," 1,660 ", 5 , D , 17 , D , 202 , 40 , 11 , - , 3 , 86 , 52 , - , D , 19 , 50 , 5 , D , 3 , 34 , - , - , 25 , 33 , 10 , 9 , D , 24 , D , 4 , 6 , 8 , 50 , D , 518 , 35 , - , 70 , 5 , 36 , 96 , - , - , 10 , - , 13 , 51 , - , - , 10 , D , 47 , 52 , D , 8 , D , 1 ,
Vanuatu, D , - , - , D , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Venezuela," 8,192 ", 23 , 7 , 50 , 7 , 364 , 62 , 72 , 13 , 12 ," 4,198 ", 251 , - , 9 , 3 , 91 , 50 , 7 , 14 , 24 , 53 , D , 89 , 142 , 45 , 22 , D , 23 , D , 7 , 19 , 4 , 211 , 10 , 443 , 134 , - , 55 , 49 , 17 , 81 , 122 , 22 , 47 , - , 63 , 973 , D , D , 99 , D , 111 , 50 , 3 , 24 , D , 7 ,
Vietnam," 21,976 ", 152 , 11 , 370 , 111 ," 7,490 ", 356 , 129 , 31 , 7 , 855 , 913 , 5 , 149 , 27 , 320 , 95 , 112 , 211 , 72 , 328 , 31 , 337 , 674 , 217 , 295 , 82 , 220 , 8 , 148 , 116 , 31 , 274 , 88 , 380 , 603 , 15 , 188 , 267 , 419 , 548 , 4 , 15 , 108 , 12 , 174 ," 3,179 ", D , D , 152 , 9 , 649 , 846 , 22 , 87 , 6 , 24 ,
Yemen," 1,284 ", 17 , - , D , 5 , 187 , D , 11 , 7 , D , 7 , 5 , - , - , - , 47 , 9 , - , 3 , - , 13 , - , 6 , D , 341 , 8 , 17 , 6 , - , D , - , - , 8 , D , 449 , 61 , - , 5 , - , - , 3 , - , - , D , - , 23 , 12 , - , - , - , - , 16 , D , D , D , D , 3 ,
Zambia, 370 , 4 , - , 10 , 3 , 37 , 4 , 9 , D , D , 22 , 31 , - , D , - , 23 , 10 , D , D , 3 , D , - , 20 , 7 , 5 , 3 , D , 5 , - , 3 , D , - , 7 , - , 23 , 9 , - , 7 , 4 , 3 , 12 , - , - , 3 , - , 5 , 54 , - , - , D , D , 17 , 9 , - , D , - , - ,
Zimbabwe, 852 , 10 , D , 9 , - , 68 , 15 , 15 , 3 , D , 44 , 48 , - , - , D , 12 , 50 , 3 , 3 , 19 , D , 4 , 37 , 34 , 22 , 10 , D , 9 , D , 7 , 4 , 5 , 17 , 3 , 35 , 42 , D , 35 , 14 , 9 , 30 , - , - , 7 , D , 10 , 154 , - , - , D , D , 29 , 14 , D , 6 , - , - ,
Unknown, 89 , D , - , 3 , - , 5 , - , D , - , D , D , 6 , - , - , - , 5 , D , - , - , - , 4 , - , D , 3 , 9 , D , D , D , - , - , - , - , D , - , 7 , - , - , 14 , - , D , D , D , - , - , - , - , 4 , - , - , - , - , 3 , D , - , - , - , 7 ,
D Data withheld to limit disclosure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Represents zero.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 Includes American Samoa, Northern Mariana Islands, and U.S. Virgin Islands.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Based on N-400 data for persons aged 18 and over.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Department of Homeland Security.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
