Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Montenegro, 205 , - , - , D , - , 4 , - , 7 , D , - , 5 , - , - , - , - , 3 , - , - , - , - , - , - , - , D , 22 , - , - , D , - , - , D , - , 14 , - , 133 , D , - , D , D , D , D , - , - , - , - , - , 3 , - , - , - , - , D , D , - , - , - , - 
Montserrat, 63 , - , - , - , - , - , D , D , - , - , 7 , D , - , - , - , - , - , - , - , - , - , - , D , 12 , D , - , - , - , - , - , - , - , 3 , - , 18 , D , - , - , - , - , D , - , - , D , - , - , D , - , 6 , D , - , D , - , - , - , - , 4 
Morocco," 3,656 ", 16 , - , 25 , D , 259 , 70 , 84 , 14 , 7 , 463 , 55 , - , 5 , 4 , 156 , 22 , 10 , 15 , 20 , 22 , 9 , 69 , 477 , 24 , 47 , 7 , 18 , 6 , D , 25 , 15 , 179 , 3 , 411 , 129 , - , 110 , 46 , 10 , 210 , D , 28 , 29 , D , 11 , 150 , - , - , 5 , D , 241 , 37 , D , 23 , D , 77 
Mozambique, 49 , - , - , - , - , 8 , D , 3 , - , - , 5 , D , - , - , D , D , - , - , - , - , - , - , 4 , D , - , - , D , - , - , - , - , - , 6 , - , 6 , D , - , - , - , - , D , - , - , D , - , - , 3 , - , - , - , - , D , D , - , - , - , 1 
Namibia, 29 , - , - , D , - , 3 , D , - , - , - , 3 , D , - , - , - , D , - , - , - , - , - , - , 3 , - , D , - , - , D , - , - , - , - , - , - , D , D , - , - , - , - , D , - , - , D , D , - , 5 , - , - , - , - , - , D , - , D , - , - 
Nepal," 2,235 ", 14 , 4 , 31 , 3 , 308 , 157 , 48 , - , 6 , 40 , 29 , - , 8 , D , 57 , 15 , 10 , 14 , 23 , 5 , - , 145 , 127 , 21 , 39 , D , 16 , - , 26 , 10 , 27 , 33 , 15 , 257 , 43 , - , 10 , 5 , 22 , 21 , - , 4 , 14 , 4 , 8 , 257 , 5 , - , 5 , 5 , 182 , 51 , - , 32 , D , 74 
Netherlands, 778 , 4 , 4 , 14 , D , 149 , 35 , 12 , D , 4 , 56 , 28 , - , 13 , 4 , 23 , D , D , 3 , D , 4 , D , 18 , 30 , 29 , 10 , D , 9 , 4 , D , 3 , 3 , 26 , 3 , 58 , 15 , - , 20 , 4 , 7 , 17 , D , D , 9 , D , 16 , 44 , D , - , 9 , - , 24 , 27 , - , 12 , - , 9 
Netherlands Antilles, 60 , D , - , - , - , 6 , - , - , - , - , 15 , D , - , - , - , D , D , - , - , - , - , D , D , D , - , - , - , - , - , D , - , - , D , - , 9 , D , - , - , D , - , 3 , - , D , - , - , - , D , - , 4 , - , D , 5 , D , - , - , - , - 
New Caledonia, 4 , - , - , - , - , D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
New Zealand, 480 , D , 4 , 7 , D , 131 , 19 , 4 , - , - , 29 , 13 , D , 12 , 3 , 5 , - , D , D , - , - , D , 12 , 20 , 6 , 4 , D , 6 , 3 , D , 10 , 3 , 6 , D , 28 , 8 , D , 9 , D , 6 , 14 , - , D , 4 , D , 6 , 32 , D , D , 9 , - , 7 , 26 , - , 7 , D , 2 
Nicaragua," 5,092 ", 9 , D , 28 , 8 ," 1,068 ", 19 , 14 , D , 7 ," 2,577 ", 89 , - , 3 , 5 , 41 , 24 , 6 , 9 , 5 , 68 , D , 90 , 36 , 7 , 23 , 5 , 11 , D , 8 , 54 , - , 106 , 4 , 127 , 84 , D , 21 , 9 , 21 , 24 , 10 , 3 , 18 , - , 14 , 227 , 13 , D , 19 , D , 54 , 35 , D , 21 , - , 57 
Niger, 124 , - , - , D , D , D , D , D , - , - , D , D , - , - , D , - , 7 , - , - , D , D , D , 19 , D , 3 , - , - , - , - , D , - , D , 4 , - , 13 , 23 , - , 5 , D , - , 22 , - , - , D , - , - , D , - , - , - , - , D , 3 , - , - , - , 2 
Nigeria," 9,344 ", 52 , 10 , 85 , 20 , 773 , 59 , 78 , 46 , 47 , 273 , 694 , - , 3 , D , 572 , 102 , 17 , 38 , 28 , 38 , 3 ," 1,065 ", 299 , 144 , 203 , 14 , 66 , D , 18 , 40 , 12 , 580 , 10 , 974 , 228 , 7 , 160 , 68 , 22 , 258 , - , 72 , 70 , - , 106 ," 1,622 ", 9 , D , 10 , D , 150 , 57 , 5 , 46 , D , 82 
Norway, 90 , - , - , 4 , - , 12 , 4 , D , - , - , 5 , - , - , D , D , 5 , 3 , D , D , - , D , - , - , D , - , 3 , - , - , D , - , D , - , 5 , D , 3 , 5 , - , D , - , 3 , D , - , D , D , - , - , 7 , D , - , D , - , 3 , 7 , - , - , - , - 
Oman, 37 , - , - , - , - , 5 , - , D , - , - , 3 , 3 , - , - , - , D , - , - , - , D , - , - , D , - , - , D , - , D , - , - , - , - , D , - , 4 , D , - , - , D , - , - , - , - , - , - , - , 9 , - , - , - , - , - , D , - , - , - , - 
Pakistan," 10,655 ", 61 , 6 , 82 , 26 ," 1,359 ", 60 , 179 , 40 , 5 , 418 , 355 , D , 3 , D , 851 , 57 , 20 , 33 , 45 , 77 , 3 , 393 , 206 , 247 , 60 , 16 , 95 , - , 5 , 55 , 18 , 599 , 7 ," 1,753 ", 197 , 6 , 129 , 58 , 25 , 299 , D , 27 , 40 , D , 84 ," 1,671 ", D , D , 25 , 4 , 517 , 128 , 5 , 63 , 4 , 231 
Palau, 68 , - , D , - , - , 4 , D , - , - , - , D , D , 5 , 8 , D , - , - , - , D , - , - , - , D , - , - , D , - , D , - , - , D , - , - , - , D , 5 , - , D , 3 , - , - , - , - , 3 , - , - , 4 , 6 , - , - , - , 6 , 7 , - , - , D , 2 
Panama," 1,340 ", 10 , D , 13 , 6 , 113 , 16 , 6 , D , 3 , 289 , 97 , - , 6 , - , 25 , 5 , D , 9 , 8 , 9 , D , 39 , 25 , 8 , 10 , 8 , 11 , - , 3 , 20 , - , 37 , 8 , 181 , 46 , - , 18 , 10 , 3 , 21 , 8 , D , 13 , - , 31 , 125 , 6 , - , D , - , 42 , 25 , D , 6 , - , 11 
Papua New Guinea, 17 , - , - , - , - , D , D , D , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , D , - , D , - , - , - , - , D , - , D , - , - , D , - , D , D , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , 1 
Paraguay, 289 , D , D , 4 , - , 25 , 3 , 5 , - , D , 62 , 6 , - , - , - , - , - , - , 9 , - , - , - , 9 , 5 , - , D , - , D , - , - , 5 , - , 23 , - , 75 , 4 , - , - , - , D , 5 , - , - , D , - , D , 11 , D , - , 6 , - , 11 , 4 , - , D , - , 3 
Peru," 10,266 ", 27 , 6 , 98 , 13 ," 1,535 ", 102 , 253 , 13 , 18 ," 2,803 ", 222 , D , 22 , 23 , 170 , 46 , 3 , 17 , 29 , 17 , 6 , 290 , 197 , 28 , 33 , 9 , 36 , 7 , 13 , 103 , 19 ," 1,179 ", 18 , 836 , 179 , 3 , 102 , 54 , 56 , 152 , 25 , 30 , 62 , D , 51 , 417 , 11 , D , 178 , 7 , 400 , 87 , 6 , 37 , 4 , 210 
Philippines," 42,520 ", 110 , 341 , 641 , 77 ," 17,288 ", 199 , 286 , 67 , 46 ," 1,936 ", 382 , 509 ," 1,644 ", 89 ," 2,238 ", 291 , 67 , 105 , 173 , 108 , 36 , 863 , 309 , 357 , 232 , 89 , 179 , 30 , 46 ," 1,668 ", 49 ," 2,247 ", 87 ," 2,157 ", 445 , 24 , 328 , 176 , 246 , 425 , D , 51 , 277 , 24 , 223 ," 2,457 ", 213 , 39 , 119 , D , 804 ," 1,240 ", 30 , 158 , 27 , 253 
Pitcairn Island, D , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Poland," 8,844 ", 11 , 5 , 79 , D , 326 , 87 , 567 , 8 , 5 , 419 , 62 , - , 16 , 7 ," 2,860 ", 40 , 3 , 4 , 16 , 8 , 10 , 59 , 241 , 147 , 30 , D , 18 , D , 8 , 50 , 18 ," 1,117 ", 11 ," 1,662 ", 70 , - , 89 , 14 , 39 , 243 , D , 29 , 36 , D , 29 , 116 , 8 , - , 11 , 6 , 59 , 83 , 5 , 52 , D , 51 
Portugal," 1,426 ", D , - , 4 , D , 122 , 3 , 91 , 3 , D , 89 , 6 , - , - , 5 , 7 , D , D , - , D , - , 5 , 18 , 314 , D , - , - , 3 , - , D , D , 10 , 422 , D , 113 , 12 , - , D , D , 3 , 32 , - , 83 , 3 , - , D , 8 , 3 , - , D , D , 12 , 8 , - , D , - , 22 
Qatar, 101 , D , - , D , - , 7 , - , - , D , - , 11 , 4 , - , - , - , 4 , - , D , D , - , - , - , 5 , D , 7 , D , - , D , - , D , - , - , D , - , 6 , 3 , - , 3 , 3 , D , D , - , - , - , - , D , 19 , - , - , D , - , 4 , D , - , D , - , 1 
Romania," 4,314 ", 20 , 7 , 187 , 13 , 621 , 58 , 65 , 9 , 7 , 353 , 212 , D , 8 , 17 , 475 , 34 , 7 , 6 , 11 , 15 , 6 , 46 , 92 , 235 , 22 , 5 , 25 , D , 7 , 65 , 23 , 117 , 6 , 435 , 73 , - , 164 , 12 , 109 , 114 , - , 5 , 42 , 3 , 50 , 192 , 6 , 3 , 10 , 7 , 54 , 204 , - , 26 , D , 26 
Russia," 8,257 ", 31 , 40 , 82 , 11 ," 1,448 ", 207 , 97 , 14 , 7 , 542 , 165 , D , 19 , 38 , 326 , 58 , 20 , 25 , 50 , 13 , 22 , 196 , 412 , 73 , 115 , 14 , 59 , 13 , 15 , 105 , 41 , 398 , 33 ," 1,252 ", 131 , 5 , 164 , 42 , 190 , 294 , D , 16 , 67 , 8 , 55 , 263 , 10 , - , 40 , 10 , 155 , 695 , 4 , 86 , 6 , 72 
Rwanda, 265 , - , - , 11 , - , 14 , 6 , D , 3 , D , 6 , 22 , - , - , - , 6 , 5 , D , 7 , D , - , D , 10 , 9 , 15 , 8 , - , D , - , - , 5 , 6 , D , - , 24 , 5 , D , 16 , - , 3 , 9 , - , 9 , - , - , 9 , 24 , - , - , D , - , 10 , 5 , - , D , D , 3 
Saint Kitts-Nevis, 306 , D , D , - , - , D , D , D , - , - , 64 , 14 , - , D , - , D , - , D , - , D , - , - , 13 , 5 , D , D , - , - , - , - , D , - , 8 , - , 77 , 7 , - , D , 3 , - , 6 , 5 , 4 , - , - , D , 3 , - , 72 , - , - , 6 , - , - , - , - , 1 
Saint Lucia, 600 , D , - , 3 , - , 19 , 3 , 29 , D , D , 93 , 25 , - , D , - , 3 , - , D , D , D , 5 , - , 13 , 12 , D , - , - , - , - , - , D , - , 14 , 3 , 215 , 9 , - , 4 , D , - , 13 , D , D , 8 , - , D , 30 , 4 , 58 , - , D , 13 , - , - , 3 , - , 1 
Saint Vincent and the Grenadines, 416 , - , D , 4 , D , 10 , D , 3 , 3 , D , 45 , 11 , - , - , - , D , - , - , - , D , D , - , 9 , 13 , 3 , D , - , D , - , - , D , - , 22 , - , 219 , 6 , - , - , 3 , D , 9 , D , - , 3 , - , - , 10 , D , 11 , - , D , 9 , D , - , - , - , 2 
Samoa, 172 , - , 5 , 5 , - , 36 , D , - , - , - , 5 , D , - , 29 , D , D , - , - , - , 5 , D , D , - , - , D , - , - , 9 , D , - , 4 , - , - , - , - , D , - , - , - , 5 , D , - , - , - , - , - , D , D , - , 32 , - , - , 23 , - , - , - , - 
San Marino, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Sao Tome and Principe, 9 , - , - , - , - , - , - , - , - , - , D , - , - , - , - , D , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - , D , - , D , - , - , - , D , - , - , - , - , - , - , - , - , - , - 
Saudi Arabia, 814 , 7 , D , 13 , 3 , 115 , 9 , 5 , 4 , - , 44 , 16 , - , - , - , 59 , 7 , D , 5 , 6 , 3 , D , 16 , 21 , 63 , 17 , D , 10 , - , D , 8 , - , 40 , D , 58 , 12 , D , 34 , D , 6 , 35 , - , - , 5 , D , 8 , 98 , - , - , 3 , D , 39 , 12 , D , 5 , - , 11 
Senegal, 752 , D , - , 3 , D , 32 , 9 , 9 , 5 , 5 , 19 , 38 , - , D , - , 16 , 15 , D , 4 , 14 , D , - , 53 , 21 , 15 , 5 , 4 , 14 , - , D , 6 , D , 27 , D , 170 , 31 , - , 58 , 9 , 5 , 18 , - , 35 , 11 , - , 13 , 26 , - , D , 3 , D , 14 , 13 , D , 6 , - , 10 
Serbia, 85 , - , D , - , - , D , - , - , - , D , 6 , - , - , - , - , 57 , 5 , - , - , - , - , - , 3 , - , - , - , - , - , - , - , - , - , - , - , 6 , D , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , D , - , - 
Serbia and Montenegro 1," 2,185 ", D , D , 51 , - , 197 , 11 , 75 , 5 , 3 , 159 , 38 , - , 6 , 7 , 192 , 29 , 15 , 3 , 17 , 3 , D , 30 , 34 , 198 , 7 , D , 24 , - , 3 , 35 , 9 , 111 , D , 573 , 28 , 5 , 56 , 6 , 6 , 55 , - , D , 4 , D , 22 , 57 , D , - , 4 , D , 21 , 27 , D , 20 , - , 21 
Seychelles, 19 , - , - , - , - , 4 , - , - , D , - , D , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - , - , 4 , D , - , - , - , - , D , - , - , - , - 
Sierra Leone," 1,831 ", 4 , 3 , 22 , D , 95 , 11 , 5 , 22 , 6 , 36 , 73 , - , - , - , 25 , 11 , 6 , D , 6 , D , - , 371 , 67 , 28 , 57 , - , 14 , - , 5 , 5 , 5 , 127 , D , 181 , 57 , D , 82 , 4 , D , 146 , - , 6 , 10 , D , 12 , 78 , 4 , - , D , - , 129 , 23 , - , 9 , D , 74 
Singapore, 311 , - , - , 3 , D , 97 , 6 , 3 , - , - , 8 , 10 , - , 5 , D , 4 , 3 , D , D , - , D , - , 7 , 7 , 7 , 4 , - , D , - , - , 14 , - , 9 , D , 21 , 7 , - , 6 , 3 , D , 5 , - , - , 4 , - , D , 33 , D , - , D , D , D , 21 , - , D , - , 4 
Slovakia, 421 , - , D , 7 , - , 44 , 11 , 8 , D , - , 36 , 14 , - , 5 , D , 39 , - , D , D , D , - , D , 9 , 10 , 7 , 6 , D , 7 , - , - , 4 , D , 66 , - , 59 , 6 , - , 7 , D , 6 , 17 , - , - , 3 , D , 4 , 6 , - , - , 3 , - , 7 , 5 , D , 3 , - , 7 
Slovenia, 57 , - , - , 3 , D , 7 , - , - , D , - , 6 , D , - , - , - , 6 , - , D , - , D , - , - , D , 3 , D , D , - , - , - , - , D , - , D , - , 5 , D , - , 3 , - , - , - , - , - , - , - , D , 3 , - , - , - , - , D , D , - , D , - , 1 
Solomon Islands, D , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - 
Somalia," 7,971 ", - , 8 , 238 , - , 405 , 117 , 18 , - , D , 5 , 138 , - , - , 28 , 148 , 24 , 31 , 61 , 101 , 3 , 294 , 46 , 217 , 53 ," 2,807 ", - , 110 , - , 117 , 23 , 10 , 3 , D , 125 , 44 , 50 , 861 , 3 , 137 , 24 , - , - , D , 14 , 181 , 209 , 3 , D , 117 , 28 , 101 , 880 , - , 99 , - , 85 
South Africa," 2,566 ", 21 , 10 , 47 , 18 , 354 , 64 , 53 , 8 , 3 , 319 , 191 , - , 10 , 4 , 93 , 26 , 10 , 21 , 20 , 9 , 6 , 43 , 80 , 32 , 38 , 8 , 11 , D , 10 , 24 , 14 , 74 , 9 , 132 , 101 , D , 50 , 17 , 39 , 73 , - , 3 , 32 , 4 , 58 , 226 , 6 , D , 24 , D , 46 , 67 , - , 32 , 3 , 19 
"Soviet Union, former"," 2,812 ", 7 , 14 , 29 , 4 , 507 , 54 , 47 , D , 8 , 194 , 48 , - , 5 , 4 , 138 , 18 , 13 , 10 , 8 , 5 , 5 , 76 , 71 , 71 , 35 , D , 19 , 5 , 8 , 19 , 11 , 151 , 7 , 595 , 52 , - , 47 , 11 , 68 , 70 , D , 9 , 19 , 7 , 17 , 77 , - , - , 15 , 5 , 51 , 119 , D , 22 , D , 29 
Spain," 1,253 ", 4 , 5 , 23 , - , 185 , 21 , 18 , 4 , 11 , 212 , 34 , - , 3 , - , 32 , 9 , D , D , 3 , 6 , D , 26 , 41 , 12 , 6 , - , 13 , D , 5 , 13 , 7 , 99 , 6 , 137 , 22 , D , 14 , 5 , 7 , 27 , 24 , 4 , 15 , D , 6 , 71 , 11 , - , 17 , D , 33 , 25 , - , 8 , D , 17 
Sri Lanka," 1,334 ", 3 , - , 18 , 11 , 324 , 7 , 8 , D , 4 , 56 , 24 , - , 4 , D , 38 , 7 , 6 , 12 , 10 , 4 , D , 96 , 54 , 30 , 20 , D , 7 , - , 4 , 30 , 6 , 61 , D , 197 , 18 , - , 35 , 4 , 11 , 44 , - , D , D , - , 7 , 96 , - , - , D , D , 31 , 13 , - , 6 , - , 14 
Sudan," 2,444 ", 20 , 3 , 116 , D , 140 , 59 , 22 , 4 , 7 , 59 , 37 , - , - , 13 , 73 , 14 , 120 , 14 , 21 , 9 , 36 , 60 , 42 , 33 , 102 , 3 , 46 , - , 149 , 5 , 33 , 36 , - , 168 , 97 , 27 , 48 , 4 , 5 , 86 , - , - , 8 , 25 , 99 , 204 , - , D , 58 , 9 , 175 , 83 , - , 11 , - , 59 
Suriname, 194 , D , - , - , - , 8 , D , - , D , - , 65 , 5 , - , - , - , 4 , - , - , D , D , 6 , - , 3 , 3 , D , D , - , D , - , D , D , - , 13 , - , 61 , 4 , - , - , D , - , 3 , - , - , - , - , D , 3 , - , - , - , - , D , - , - , - , - , 1 
Swaziland, 15 , - , - , D , - , 3 , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - , - , 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , D , - , - , - , - , D , D , - , - , - , - 
Sweden, 872 , 11 , D , 10 , - , 230 , 27 , 25 , 3 , - , 110 , 16 , - , 6 , 4 , 32 , 4 , D , D , D , D , 4 , 13 , 37 , 6 , 18 , D , 6 , D , D , 6 , D , 29 , 3 , 67 , 16 , D , 6 , 3 , 16 , 19 , - , D , 7 , - , D , 43 , D , D , 6 , 4 , 11 , 37 , - , 4 , - , 14 
Switzerland, 427 , 3 , D , 14 , D , 105 , 11 , 4 , - , 4 , 38 , 9 , D , 3 , D , 10 , 4 , D , D , D , D , D , 12 , 10 , 3 , D , D , 4 , D , D , 5 , D , 14 , 4 , 43 , 11 , - , 10 , D , 6 , 13 , D , - , D , - , 6 , 21 , D , D , 3 , D , 7 , 13 , D , D , 3 , 2 
Syria," 1,981 ", 7 , - , 32 , 10 , 581 , 17 , 20 , D , - , 133 , 27 , - , D , - , 142 , 19 , 5 , 7 , 15 , 6 , - , 24 , 77 , 104 , 5 , 5 , 12 , - , 7 , 7 , 6 , 115 , 5 , 165 , 17 , - , 68 , 16 , 15 , 96 , 3 , 15 , 3 , - , 20 , 91 , - , D , D , - , 23 , 17 , 3 , 8 , - , 26 
Taiwan," 5,065 ", 13 , 4 , 50 , 8 ," 2,432 ", 41 , 24 , 3 , D , 116 , 99 , 4 , 42 , 5 , 114 , 34 , 5 , 27 , 19 , 17 , D , 98 , 96 , 48 , 25 , 5 , 17 , D , 3 , 43 , 7 , 196 , 13 , 371 , 73 , - , 56 , 14 , 39 , 56 , - , 7 , 18 , D , 19 , 424 , D , - , 32 , - , 66 , 204 , 5 , 30 , - , 37 
Tajikistan, 155 , D , - , 9 , - , 22 , 20 , - , - , - , 7 , D , - , D , D , 4 , - , - , - , - , - , - , D , - , - , D , - , D , - , 5 , D , - , 9 , - , 37 , D , 3 , D , D , 8 , 4 , - , - , - , - , D , D , - , - , - , - , D , 10 , - , - , - , - 
Tanzania, 516 , 8 , - , 6 , D , 50 , D , 5 , D , 3 , 51 , 28 , - , - , - , 9 , 7 , D , 12 , D , 4 , - , 33 , 18 , 9 , 19 , D , 5 , D , D , 6 , D , 7 , 6 , 27 , 19 , - , 26 , D , - , 21 , - , D , 4 , - , 9 , 63 , D , - , D , - , 10 , 18 , D , 4 , - , 8 
Thailand," 5,299 ", 29 , 56 , 53 , 25 ," 1,838 ", 53 , 24 , 7 , 4 , 275 , 110 , 5 , 69 , 13 , 135 , 21 , 10 , 32 , 18 , 25 , 15 , 96 , 138 , 61 , 370 , 6 , 36 , 4 , 8 , 139 , 11 , 62 , 12 , 170 , 99 , D , 61 , 22 , 64 , 73 , - , 16 , 24 , 6 , 43 , 234 , 15 , D , 24 , 8 , 115 , 203 , 5 , 300 , D , 51 
Togo," 1,523 ", 12 , - , 22 , - , 26 , 22 , 44 , 7 , 6 , 26 , 85 , - , 4 , 6 , 134 , 19 , 21 , 3 , 13 , D , D , 194 , 18 , 5 , 117 , - , 20 , - , 63 , 3 , - , 57 , - , 219 , 80 , - , 36 , 9 , 7 , 56 , - , 6 , 14 , - , 11 , 43 , 3 , - , 10 , D , 50 , 10 , - , 16 , - , 22 
Tonga, 251 , - , D , 8 , - , 108 , D , - , - , - , D , D , - , 23 , D , - , - , D , - , D , - , - , - , D , D , - , - , - , - , - , 6 , - , - , - , - , D , - , - , - , 9 , - , - , - , D , - , - , 10 , - , - , 50 , - , D , 19 , - , D , - , 2 
Trinidad and Tobago," 5,014 ", 15 , 6 , 30 , D , 117 , 14 , 56 , 12 , 14 , 909 , 173 , - , 7 , D , 49 , 9 , - , 6 , 9 , 11 , D , 239 , 144 , 19 , 21 , D , 3 , - , 4 , 14 , 5 , 332 , D ," 2,058 ", 64 , - , 22 , 20 , 3 , 160 , D , 10 , 48 , - , 13 , 182 , 18 , 23 , D , D , 95 , 28 , 4 , D , D , 33 
Tunisia, 377 , 4 , - , 4 , D , 38 , 3 , D , 4 , 6 , 66 , 5 , - , D , - , 13 , 4 , D , 3 , D , D , - , 18 , 5 , 11 , 3 , D , 3 , - , D , - , D , 13 , D , 44 , 5 , D , 15 , D , D , 26 , - , 3 , D , - , 6 , 24 , - , - , D , - , 16 , 5 , - , - , D , 11 
Turkey," 3,100 ", 7 , 3 , 24 , 6 , 426 , 22 , 56 , 24 , 4 , 276 , 90 , - , 4 , 3 , 109 , 30 , 4 , 10 , 6 , 11 , 5 , 69 , 132 , 29 , 25 , 4 , 13 , D , 5 , 20 , 8 , 384 , 6 , 548 , 44 , D , 41 , 9 , 10 , 145 , - , 7 , 28 , - , 37 , 164 , 6 , - , 7 , 4 , 105 , 58 , 4 , 15 , D , 49 
Turkmenistan, 146 , - , - , D , - , 29 , 4 , D , - , D , 11 , 3 , - , - , D , D , D , - , - , - , - , - , D , 5 , - , D , - , D , - , - , D , - , 6 , - , 18 , - , - , D , - , 3 , 7 , - , - , - , - , D , 5 , - , - , 8 , - , D , 16 , - , 10 , - , 2 
Turks and Caicos Islands, 36 , - , - , - , - , - , - , - , - , - , 25 , - , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , D , - , 4 , D , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Tuvalu, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Uganda, 838 , D , D , 12 , D , 136 , 19 , 8 , D , D , 24 , 38 , - , D , - , 26 , 8 , 8 , 7 , D , D , - , 59 , 181 , 8 , 26 , D , 4 , - , D , 3 , - , 11 , - , 36 , 7 , D , 13 , 13 , 3 , 26 , - , 3 , 3 , D , 4 , 65 , - , - , 3 , - , 22 , 21 , D , 11 , - , 10 
Ukraine," 8,489 ", 26 , 26 , 49 , 10 ," 1,261 ", 105 , 90 , 15 , D , 402 , 128 , D , 6 , 25 , 658 , 47 , 26 , 19 , 54 , 16 , 4 , 110 , 227 , 91 , 150 , 10 , 75 , 8 , 27 , 46 , 33 , 352 , 19 ," 1,347 ", 153 , 4 , 231 , 34 , 360 , 407 , - , 9 , 55 , 30 , 62 , 144 , 8 , - , 22 , 3 , 94 ," 1,288 ", 6 , 74 , 4 , 35 
United Arab Emirates, 425 , 4 , D , 9 , D , 66 , 4 , 8 , D , 4 , 18 , 15 , - , - , - , 33 , 7 , - , 4 , 3 , D , D , 8 , 12 , 11 , 17 , 3 , 4 , - , D , 5 , - , 14 , D , 23 , 3 , - , 13 , 7 , - , 19 , - , - , D , - , 6 , 67 , - , - , D , - , 5 , 12 , - , 6 , - , 4 
United Kingdom," 9,246 ", 41 , 13 , 211 , 19 ," 1,578 ", 204 , 192 , 21 , 23 ," 1,116 ", 333 , D , 26 , 25 , 290 , 59 , 17 , 22 , 38 , 42 , 33 , 190 , 417 , 202 , 83 , 12 , 59 , 11 , 19 , 80 , 55 , 356 , 38 , 708 , 310 , 7 , 157 , 41 , 125 , 315 , D , 28 , 115 , 3 , 99 , 742 , 16 , D , 54 , 26 , 235 , 281 , 15 , 56 , 8 , 76 
United States, 45 , - , - , D , - , 10 , - , - , - , D , 5 , D , - , D , D , - , D , - , - , - , - , - , D , - , D , - , - , - , - , - , - , - , D , - , 4 , - , - , D , - , D , D , - , - , - , - , - , 4 , - , - , - , - , 3 , D , - , D , - , 1 
Uruguay, 751 , D , 4 , 7 , - , 53 , 5 , 11 , D , D , 252 , 33 , - , D , D , 13 , 4 , - , 3 , 3 , 5 , - , 17 , 28 , 5 , 6 , D , D , - , D , 6 , 4 , 101 , 3 , 62 , 11 , - , 4 , D , 3 , 13 , 4 , D , 11 , D , 3 , 22 , - , - , 15 , - , 14 , 6 , - , D , - , 7 
Uzbekistan," 2,463 ", 3 , D , 38 , - , 276 , 54 , 11 , D , D , 109 , 53 , D , 3 , 51 , 115 , 6 , D , 5 , 75 , D , - , 101 , 56 , 28 , 11 , D , 35 , D , D , 10 , 13 , 65 , D , 550 , 24 , D , 137 , 5 , 47 , 176 , - , - , 8 , D , 7 , 58 , 3 , - , 24 , 8 , 39 , 205 , D , 19 , - , 12 
