Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Mongolia, 347 , - , - , D , D , 129 , 19 , - , - , D , 6 , D , - , 3 , - , 40 , 3 , - , D , D , D , - , D , 8 , - , 4 , - , - , - , D , 6 , - , 4 , - , 12 , 3 , - , 3 , - , D , - , - , - , - , - , - , 4 , D , - , 7 , - , 38 , 35 , - , 4 , - , D 
Montenegro, 231 , D , - , 3 , D , 4 , - , 3 , - , - , - , D , - , - , - , 12 , - , - , - , - , - , - , - , - , 38 , - , D , D , - , - , D , - , 15 , - , 137 , D , - , D , - , - , D , - , - , - , - , D , 4 , - , - , D , - , D , D , - , - , - , - 
Montserrat, 65 , D , - , - , - , 3 , - , - , - , - , 7 , D , - , - , - , - , - , - , - , - , - , - , - , 15 , - , D , - , - , - , - , - , D , 3 , - , 26 , D , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , D , - , D , - , - , - 
Morocco," 3,768 ", 16 , 3 , 28 , 5 , 242 , 52 , 69 , 11 , 17 , 424 , 80 , - , 4 , D , 146 , 22 , 8 , 10 , 40 , 12 , 4 , 86 , 413 , 43 , 46 , 19 , 21 , D , 6 , 21 , 12 , 221 , 4 , 517 , 146 , D , 122 , 25 , 10 , 209 , - , 13 , 19 , D , 24 , 148 , - , - , 3 , 3 , 361 , 44 , 4 , 16 , D , 11 
Mozambique, 51 , - , D , D , - , 10 , - , 3 , - , - , 7 , D , - , D , - , D , - , - , - , - , - , - , D , D , - , - , D , D , - , D , - , - , 5 , - , D , D , - , - , - , D , D , - , - , - , - , D , D , - , - , D , - , D , - , - , - , - , D 
Namibia, 40 , 3 , - , D , D , 3 , - , D , - , - , 3 , - , - , D , - , - , - , - , - , - , - , - , 4 , D , D , - , - , - , - , - , D , - , 3 , - , 4 , D , - , - , - , D , D , - , - , - , - , 3 , 3 , - , - , - , - , D , D , - , - , - , - 
Nepal," 2,711 ", 14 , 4 , 31 , - , 404 , 99 , 38 , 3 , 11 , 35 , 57 , - , 9 , D , 62 , 12 , 16 , 10 , 27 , 5 , D , 172 , 107 , 30 , 46 , 3 , 22 , - , 35 , 10 , 41 , 42 , 8 , 425 , 36 , D , 12 , 54 , 21 , 43 , - , 7 , 22 , 3 , 5 , 333 , D , - , 14 , D , 262 , 50 , 4 , 42 , - , 17 
Netherlands, 786 , D , D , 23 , 4 , 138 , 18 , 13 , D , D , 82 , 41 , - , 4 , 3 , 26 , 5 , D , 4 , 7 , 3 , 4 , 18 , 19 , 23 , 15 , D , 4 , 8 , D , 5 , D , 17 , 3 , 45 , 18 , D , 13 , D , 17 , 14 , D , D , 8 , 4 , 6 , 57 , - , - , 9 , 4 , 31 , 37 , D , 10 , D , 3 
Netherlands Antilles, 82 , - , - , - , - , - , - , 4 , - , - , 25 , 9 , - , D , - , - , D , - , D , - , - , D , D , - , - , - , D , - , - , - , - , - , 4 , - , 19 , D , - , - , - , - , D , D , D , - , - , - , D , D , 3 , D , - , D , D , - , - , - , - 
New Caledonia, 6 , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
New Zealand, 482 , D , 5 , 11 , D , 117 , 13 , 7 , - , 4 , 27 , 9 , D , 11 , D , 11 , 8 , D , - , 3 , D , 3 , 9 , 14 , 9 , 3 , - , 6 , D , D , 11 , 5 , 8 , 4 , 25 , 11 , - , D , 5 , 10 , 9 , - , D , 6 , - , 8 , 27 , - , - , 16 , D , 15 , 31 , D , 3 , D , D 
Nicaragua," 5,064 ", 5 , 5 , 17 , 10 ," 1,032 ", 15 , 14 , 5 , 11 ," 2,534 ", 66 , - , 4 , D , 39 , 17 , 7 , 4 , 5 , 57 , - , 94 , 22 , 6 , 21 , 13 , 13 , - , 6 , 56 , D , 128 , 7 , 207 , 79 , - , 16 , 6 , 9 , 37 , 9 , 5 , 31 , D , 18 , 242 , D , D , 5 , D , 116 , 27 , 4 , 17 , D , 15 
Niger, 167 , - , - , - , 4 , 3 , 3 , D , - , - , 3 , D , - , - , - , - , 10 , D , - , D , - , - , 14 , 6 , 6 , - , - , D , - , D , - , - , D , - , 17 , 41 , - , 11 , - , - , 26 , - , - , D , - , - , 5 , - , - , - , - , 4 , D , - , D , - , - 
Nigeria," 9,545 ", 33 , 7 , 95 , 12 , 776 , 34 , 91 , 43 , 55 , 253 , 711 , - , D , D , 514 , 151 , 29 , 20 , 27 , 41 , D ," 1,152 ", 232 , 113 , 195 , 12 , 83 , D , 22 , 46 , 20 , 568 , 11 ," 1,015 ", 215 , 12 , 185 , 108 , 15 , 248 , - , 71 , 97 , 3 , 106 ," 1,733 ", 3 , D , 6 , 4 , 197 , 71 , D , 56 , D , 43 
Norway, 80 , - , - , D , - , 16 , D , 4 , - , D , 9 , - , - , - , - , D , D , - , - , - , - , - , D , D , D , 4 , D , - , - , - , - , - , 3 , - , D , - , - , D , - , - , - , - , - , - , D , - , 14 , D , - , - , - , 6 , 3 , - , D , D , - 
Oman, 39 , - , - , D , - , 3 , - , - , - , - , D , D , - , - , - , D , - , - , - , - , - , - , D , D , D , D , - , D , - , - , - , - , 3 , - , 8 , 3 , - , D , - , - , - , - , - , - , - , - , 3 , - , - , - , - , D , - , - , - , - , - 
Pakistan," 12,948 ", 48 , 6 , 83 , 33 ," 1,590 ", 32 , 196 , 42 , 15 , 441 , 382 , - , D , 3 , 872 , 92 , 34 , 63 , 64 , 78 , 3 , 451 , 183 , 366 , 100 , 16 , 125 , - , 17 , 80 , 19 , 823 , 14 ," 2,422 ", 227 , 4 , 197 , 89 , 32 , 360 , - , 16 , 36 , 3 , 86 ," 1,908 ", D , - , 42 , 6 , 920 , 173 , 11 , 106 , D , 35 
Palau, 64 , - , D , D , D , 5 , - , - , - , - , D , - , 4 , 9 , - , D , - , - , D , D , D , - , - , - , - , D , - , - , - , D , - , - , D , D , 3 , 4 , - , - , D , D , - , - , - , D , - , - , 4 , 5 , - , - , - , 5 , 6 , - , - , - , 3 
Panama," 1,598 ", 7 , 3 , 18 , 6 , 117 , 14 , 11 , 5 , 8 , 407 , 82 , - , D , - , 21 , 13 , D , 4 , 5 , 11 , D , 41 , 28 , 13 , 7 , 13 , 6 , D , D , 15 , D , 36 , 4 , 298 , 56 , - , 16 , 8 , 5 , 26 , 12 , D , 22 , - , 17 , 123 , 4 , D , 3 , D , 63 , 14 , D , 12 , D , 9 
Papua New Guinea, 20 , - , - , D , - , 6 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , D , - , - , - , - , - , - , D , - , - , D , - , - , - , - , - , - , - , D , - , - , - , D , - , - , - , - , D , D , - , - , - , D 
Paraguay, 331 , - , - , - , D , 24 , 3 , 9 , - , D , 65 , 6 , - , D , - , D , - , D , - , D , D , - , 16 , D , D , D , D , D , - , D , - , - , 37 , D , 113 , D , - , - , - , 4 , D , D , - , D , - , 5 , 3 , - , - , - , - , 18 , D , D , D , - , D 
Peru," 11,782 ", 15 , 19 , 100 , 14 ," 1,584 ", 107 , 300 , 20 , 24 ," 3,011 ", 241 , D , 22 , 15 , 160 , 41 , 12 , 20 , 35 , 31 , 11 , 375 , 165 , 34 , 50 , 10 , 44 , 7 , 21 , 106 , 9 ," 1,623 ", 14 ," 1,325 ", 185 , 8 , 76 , 42 , 54 , 174 , 26 , 26 , 52 , 4 , 41 , 458 , 5 , - , 154 , 5 , 687 , 129 , 11 , 38 , D , 36 
Philippines," 43,489 ", 88 , 306 , 679 , 82 ," 18,621 ", 190 , 251 , 56 , 45 ," 1,794 ", 397 , 535 ," 1,790 ", D ," 2,200 ", 222 , 81 , 125 , 164 , 98 , 32 , 806 , 265 , 418 , 239 , 94 , 237 , 15 , 46 ," 1,748 ", 34 ," 2,039 ", 87 ," 2,296 ", 396 , 28 , 327 , 188 , 220 , 389 , D , 42 , 312 , 31 , 200 ," 2,231 ", 47 , 50 , 114 , 14 ," 1,021 "," 1,370 ", 31 , 165 , 21 , 153 
Poland," 8,697 ", 3 , 4 , 48 , 5 , 377 , 59 , 566 , 8 , 8 , 373 , 56 , - , 3 , 4 ," 2,689 ", 32 , 14 , 3 , 12 , 7 , 13 , 73 , 208 , 197 , 30 , 4 , 21 , 7 , 5 , 46 , 21 ," 1,079 ", 10 ," 1,829 ", 51 , - , 60 , 6 , 24 , 249 , D , 26 , 39 , 5 , 19 , 122 , - , D , 6 , 8 , 94 , 91 , 5 , 55 , D , 19 
Portugal," 1,585 ", D , - , 3 , D , 139 , D , 102 , D , D , 88 , 3 , - , D , 7 , 4 , D , - , - , - , - , - , 25 , 355 , 7 , D , D , D , D , - , 4 , 13 , 437 , D , 147 , 11 , - , 9 , D , D , 28 , - , 95 , 6 , - , 4 , 22 , - , - , D , D , 35 , 12 , - , D , - , 4 
Qatar, 107 , D , - , D , - , 20 , - , D , - , - , 4 , D , - , - , D , 7 , D , - , D , - , D , - , 3 , D , 7 , D , - , D , - , D , - , - , 7 , - , 5 , D , - , D , - , D , D , - , D , D , - , D , 15 , - , - , - , - , 6 , 4 , - , D , - , - 
Romania," 4,050 ", 7 , 5 , 136 , 10 , 632 , 40 , 66 , 13 , 9 , 317 , 176 , - , 9 , 12 , 406 , 33 , 11 , 4 , 17 , 19 , 8 , 71 , 60 , 186 , 23 , 5 , 28 , 4 , 6 , 65 , 13 , 128 , 5 , 393 , 73 , 4 , 133 , 15 , 88 , 125 , 3 , 3 , 34 , D , 45 , 203 , - , D , 9 , 4 , 115 , 220 , 6 , 40 , D , 8 
Russia," 8,222 ", 30 , 46 , 90 , 7 ," 1,583 ", 162 , 106 , 16 , 19 , 602 , 187 , 3 , 23 , 31 , 315 , 39 , 35 , 24 , 47 , 18 , 12 , 218 , 326 , 95 , 129 , 7 , 76 , 12 , 20 , 91 , 31 , 368 , 22 ," 1,200 ", 120 , 6 , 196 , 30 , 159 , 289 , D , 14 , 79 , 3 , 62 , 298 , D , - , 40 , 8 , 201 , 611 , 4 , 79 , 5 , 25 
Rwanda, 374 , - , - , 21 , D , 13 , 10 , 6 , - , 3 , 6 , 5 , - , - , 10 , 13 , 7 , 4 , D , 12 , - , 6 , 8 , 17 , 16 , 4 , - , 7 , - , D , 4 , 12 , 3 , 3 , 26 , 8 , 3 , 20 , - , 9 , 14 , - , 4 , 5 , D , 11 , 46 , D , - , 6 , 11 , 11 , D , - , D , - , - 
Saint Helena, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Saint Kitts-Nevis, 315 , - , - , D , - , 5 , 3 , 4 , - , - , 66 , 14 , - , - , - , 3 , D , - , D , D , - , - , 8 , 7 , 3 , - , - , D , - , - , - , - , 8 , - , 77 , 6 , - , - , - , - , 3 , D , D , 5 , - , D , 7 , - , 80 , - , - , 5 , - , - , D , - , - 
Saint Lucia, 856 , D , - , 3 , - , 17 , 3 , 36 , D , 4 , 123 , 26 , - , D , - , 7 , - , - , - , - , 4 , - , 25 , 12 , D , 4 , D , D , - , - , - , D , 38 , D , 365 , 12 , - , D , 4 , D , 12 , - , 3 , 11 , - , - , 44 , D , 73 , D , - , 9 , - , - , D , - , D 
Saint Vincent and the Grenadines, 574 , - , - , D , - , 7 , - , 8 , - , D , 39 , 18 , - , - , - , D , D , - , - , - , - , D , 11 , 9 , D , - , - , - , - , - , D , - , 21 , - , 389 , 6 , - , D , D , - , 16 , - , 3 , 3 , - , D , 11 , - , 6 , - , - , 7 , 3 , - , D , - , D 
Samoa, 206 , D , 7 , D , - , 69 , D , - , - , - , 4 , D , D , 30 , - , D , D , - , - , - , - , - , D , - , D , D , - , D , - , - , 4 , - , - , - , - , D , - , - , D , 5 , - , - , - , D , - , - , 5 , D , D , 23 , - , D , 36 , - , D , D , - 
Sao Tome and Principe, 4 , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Saudi Arabia, 927 , 4 , - , 17 , 3 , 143 , 5 , 6 , D , - , 39 , 20 , - , - , - , 59 , 16 , 5 , D , 5 , 5 , D , 16 , 23 , 51 , 19 , D , 8 , - , D , 10 , 3 , 52 , - , 69 , 24 , - , 33 , 6 , 8 , 25 , D , D , 9 , - , 11 , 118 , - , - , 5 , - , 76 , 21 , - , 4 , - , - 
Senegal, 869 , 4 , 3 , 14 , D , 51 , 4 , 11 , - , 11 , 19 , 46 , - , D , - , 23 , 10 , 5 , 5 , 25 , 4 , - , 70 , 24 , 29 , 3 , - , 17 , D , - , 5 , - , 40 , - , 183 , 34 , - , 69 , 9 , D , 35 , - , 16 , 6 , - , 8 , 35 , - , D , D , D , 21 , 7 , D , 8 , - , 3 
Serbia, 117 , - , - , - , - , 8 , - , - , - , - , D , - , - , - , - , 75 , 7 , - , - , - , - , - , - , - , - , - , - , - , - , D , D , - , 3 , - , 11 , D , - , - , - , - , D , - , - , - , - , - , D , - , - , D , - , D , D , - , D , - , - 
Serbia and Montenegro," 1,830 ", 3 , D , 35 , 7 , 194 , 7 , 35 , 3 , 7 , 134 , 26 , D , 4 , 3 , 148 , 15 , 11 , 6 , 13 , 6 , 5 , 21 , 32 , 122 , 10 , D , 43 , - , - , 23 , 14 , 107 , 3 , 457 , 20 , 3 , 69 , 6 , 9 , 32 , D , D , 5 , D , 10 , 67 , - , - , 9 , 3 , 27 , 35 , D , 25 , D , 5 
Seychelles, 15 , D , - , - , - , 3 , - , - , - , - , D , - , - , D , - , - , - , - , - , - , - , - , - , D , - , - , - , D , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , D , - , - , - , - , - , D , - , - , D , - , - 
Sierra Leone," 1,613 ", D , D , 26 , - , 78 , 4 , 5 , 8 , 10 , 21 , 72 , - , - , D , 27 , 7 , 9 , D , 9 , D , - , 314 , 42 , 12 , 48 , D , 8 , - , D , D , D , 106 , D , 213 , 39 , 5 , 78 , 5 , D , 141 , - , 5 , 10 , - , 6 , 69 , 3 , - , D , - , 188 , 8 , - , 7 , - , 14 
Singapore, 263 , - , - , 5 , D , 77 , 3 , 9 , D , D , 11 , 6 , - , 4 , - , 5 , D , D , - , D , D , D , 7 , 12 , D , 4 , - , - , - , - , D , - , 4 , D , 21 , 5 , - , 5 , - , 4 , 6 , - , D , D , - , 3 , 26 , - , - , D , - , 8 , 14 , - , D , - , D 
Slovakia, 413 , D , - , D , D , 41 , 16 , 10 , D , D , 49 , 13 , - , D , - , 28 , D , - , - , - , D , D , 17 , 10 , 9 , 10 , - , D , - , - , 3 , - , 58 , D , 57 , 13 , - , 6 , D , D , 16 , - , D , D , - , D , 10 , - , - , - , D , 16 , 8 , - , D , - , - 
Slovenia, 58 , - , - , D , - , 7 , - , D , - , - , 7 , D , - , D , - , D , - , D , - , - , - , - , D , D , D , - , - , D , - , - , D , - , D , - , 11 , D , - , - , - , - , - , - , - , D , - , D , 3 , - , - , - , - , 3 , 4 , - , 3 , - , - 
Solomon Islands, 8 , - , - , - , - , D , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , D , - , - , D , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Somalia," 6,875 ", D , 7 , 202 , - , 267 , 157 , 12 , D , D , 6 , 123 , - , - , 11 , 106 , 32 , 65 , 63 , 171 , 3 , 174 , 20 , 116 , 66 ," 2,123 ", D , 180 , D , 215 , 20 , 13 , 4 , - , 162 , 37 , 92 ," 1,010 ", - , 94 , 55 , - , D , D , 24 , 132 , 226 , - , - , 43 , 46 , 147 , 552 , D , 80 , 3 , 6 
South Africa," 2,283 ", 8 , - , 61 , 9 , 442 , 68 , 28 , 4 , 6 , 246 , 127 , D , 10 , 7 , 74 , 25 , 16 , 17 , 23 , 7 , 6 , 43 , 53 , 26 , 33 , 3 , 23 , - , 11 , 19 , 3 , 71 , 3 , 111 , 77 , 7 , 49 , 9 , 25 , 57 , - , - , 33 , 6 , 16 , 217 , D , D , 20 , D , 85 , 65 , D , 21 , D , 4 
South Sudan, 139 , D , D , 3 , - , D , - , D , - , D , 3 , D , - , - , - , D , - , 12 , D , D , - , D , D , 4 , - , 5 , D , D , - , 47 , D , 7 , - , - , 4 , D , D , 4 , D , - , D , - , - , - , - , 5 , 12 , - , - , D , - , D , 4 , - , - , - , - 
"Soviet Union, former"," 2,807 ", 6 , 8 , 24 , 5 , 596 , 38 , 24 , D , 5 , 174 , 55 , - , 9 , D , 137 , 30 , 5 , 3 , 5 , 7 , 8 , 81 , 62 , 45 , 32 , 4 , 16 , 5 , 9 , 21 , 13 , 154 , 6 , 553 , 40 , D , 53 , 10 , 34 , 85 , D , 8 , 18 , 3 , 22 , 120 , - , - , 15 , 4 , 90 , 117 , D , 30 , D , 8 
Spain," 1,367 ", 7 , - , 17 , D , 214 , 12 , 19 , D , 11 , 278 , 26 , D , D , 4 , 39 , 9 , D , 5 , 7 , 5 , 3 , 32 , 47 , 16 , 7 , 3 , 8 , D , D , 11 , 3 , 112 , 7 , 147 , 23 , D , 13 , 3 , 5 , 23 , 33 , D , 13 , D , 11 , 66 , - , - , 13 , D , 53 , 24 , D , 7 , - , 15 
Sri Lanka," 1,258 ", 4 , D , 17 , D , 312 , 4 , 18 , D , 3 , 43 , 20 , D , D , D , 37 , 12 , D , 5 , 6 , 4 , D , 73 , 28 , 37 , 22 , - , 5 , - , D , 20 , - , 69 , 3 , 242 , 13 , - , 26 , 5 , 9 , 40 , - , - , 11 , - , D , 74 , - , - , 3 , - , 42 , 29 , D , 5 , - , 3 
Sudan," 1,924 ", 6 , 9 , 79 , D , 117 , 45 , 21 , 3 , 6 , 38 , 42 , - , - , D , 74 , 12 , 99 , 4 , 27 , 3 , 42 , 56 , 24 , 49 , 100 , 4 , 33 , - , 124 , 7 , 14 , 30 , D , 128 , 80 , 19 , 47 , 8 , 6 , 51 , - , - , 5 , 24 , 48 , 153 , - , - , 33 , D , 178 , 50 , - , 10 , - , 7 
Suriname, 160 , - , - , D , - , 5 , - , - , D , - , 36 , 4 , - , - , - , - , - , - , - , - , D , - , 3 , D , - , - , - , D , - , - , 3 , - , 6 , - , 76 , 4 , - , D , D , D , D , D , - , D , - , - , 5 , - , - , - , - , D , D , - , - , - , D 
Swaziland, 15 , - , - , - , - , - , D , - , - , D , D , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , D , - , - , - , D , - , - , - , - , - , - , - , - , D , - , - , 3 , - , - , - , - , D , - , D , - , - , - 
Sweden, 783 , - , 3 , 8 , 4 , 215 , 23 , 8 , D , 3 , 79 , 10 , - , 4 , 4 , 18 , D , D , D , 5 , 6 , D , 12 , 30 , 12 , 12 , D , D , 4 , D , 9 , 7 , 22 , 5 , 60 , 32 , D , 9 , D , 18 , 21 , - , 3 , 9 , - , 6 , 37 , - , - , 4 , D , 25 , 20 , - , 13 , D , 4 
Switzerland, 452 , D , 4 , 7 , D , 98 , 6 , 12 , D , 4 , 50 , 9 , - , 10 , D , 11 , 3 , D , - , 3 , D , D , 10 , 14 , 4 , 4 , - , 8 , - , - , 10 , 7 , 14 , 7 , 49 , 9 , - , 3 , - , 8 , 9 , - , D , 4 , D , D , 26 , - , - , 3 , - , 13 , 14 , - , 3 , D , D 
Syria," 2,196 ", D , - , 36 , 6 , 579 , 8 , 32 , D , 6 , 145 , 22 , - , - , - , 206 , 20 , 9 , 6 , 13 , 10 , - , 25 , 68 , 139 , 27 , D , 22 , - , 7 , 12 , 3 , 141 , 9 , 184 , 18 , - , 82 , 16 , 12 , 91 , - , 10 , 4 , - , 16 , 114 , - , - , 5 , 3 , 49 , 17 , 4 , 12 , D , D 
Taiwan," 5,255 ", 9 , 6 , 54 , 9 ," 2,456 ", 26 , 25 , 5 , 3 , 101 , 100 , 9 , 51 , D , 124 , 36 , 20 , 19 , 14 , 15 , D , 112 , 79 , 70 , 17 , D , 37 , - , 6 , 48 , 6 , 212 , 7 , 468 , 58 , 3 , 63 , 11 , 49 , 86 , - , 7 , 12 , D , 16 , 407 , D , D , 30 , 6 , 107 , 222 , 3 , 14 , D , 7 
Tajikistan, 168 , D , - , - , - , 12 , 13 , 3 , - , D , 10 , - , - , D , - , D , - , - , - , D , - , D , D , D , 3 , D , - , D , - , 8 , - , - , 5 , - , 64 , - , D , 3 , D , 10 , 5 , - , - , D , - , - , 5 , - , - , D , - , 4 , 3 , - , D , - , - 
Tanzania, 647 , 10 , D , 9 , D , 42 , 9 , 5 , 4 , 6 , 39 , 41 , - , D , 4 , 18 , 5 , 8 , 12 , 5 , D , D , 42 , 29 , 9 , 22 , - , 12 , - , 5 , 6 , 3 , 19 , 7 , 34 , 15 , D , 32 , 4 , 5 , 21 , - , - , 9 , 4 , 9 , 84 , - , - , 3 , - , 18 , 21 , - , 6 , - , 4 
Thailand," 5,544 ", 21 , 44 , 66 , 11 ," 1,704 ", 44 , 44 , 10 , 4 , 284 , 99 , 3 , 52 , 8 , 140 , 40 , 29 , 32 , 23 , 17 , 15 , 101 , 149 , 82 , 365 , 9 , 32 , 5 , 24 , 163 , 19 , 67 , 8 , 253 , 143 , D , 63 , 39 , 83 , 74 , - , 17 , 39 , 9 , 41 , 292 , D , D , 28 , 6 , 174 , 227 , 6 , 313 , 5 , 13 
Togo," 1,380 ", 8 , 3 , 29 , - , 28 , 11 , 28 , 3 , 15 , 25 , 82 , - , - , 4 , 106 , 11 , 28 , 7 , 11 , 5 , - , 192 , 17 , 3 , 97 , D , 16 , - , 74 , 4 , 4 , 48 , D , 178 , 61 , D , 28 , 11 , 7 , 36 , - , D , 21 , D , 8 , 29 , 3 , - , 6 , D , 88 , 16 , D , 14 , - , 7 
Tonga, 371 , - , 8 , 11 , - , 191 , 3 , - , - , - , 5 , D , D , 28 , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , 13 , - , D , - , - , D , - , - , - , 13 , - , - , - , D , - , - , 14 , - , - , 57 , - , 3 , 17 , - , - , - , - 
Trinidad and Tobago," 5,784 ", 8 , D , 26 , 4 , 106 , 5 , 48 , 15 , 27 , 934 , 198 , - , 3 , D , 53 , 10 , 3 , 4 , 6 , 26 , D , 262 , 127 , 23 , 15 , D , 7 , D , D , 12 , D , 356 , 5 ," 2,797 ", 50 , 3 , 32 , 17 , 4 , 163 , D , 14 , 34 , D , 9 , 187 , D , 23 , 5 , 3 , 94 , 22 , 3 , 10 , D , 13 
Tunisia, 362 , 3 , - , 5 , - , 52 , D , 7 , D , 4 , 49 , 9 , - , - , - , 9 , - , D , D , 3 , D , - , 13 , 10 , 12 , 7 , - , 3 , - , D , D , - , 14 , D , 33 , 8 , - , 9 , - , 3 , 29 , D , - , D , - , 3 , 17 , - , - , - , - , 35 , 4 , D , 4 , D , D 
Turkey," 3,390 ", 10 , 3 , 28 , 8 , 468 , 22 , 65 , 40 , 20 , 240 , 89 , D , 6 , 5 , 126 , 13 , 9 , 9 , 11 , 11 , D , 92 , 101 , 34 , 25 , 3 , 21 , - , 6 , 18 , 6 , 493 , D , 620 , 59 , - , 47 , 12 , 19 , 128 , D , 8 , 21 , - , 26 , 165 , - , - , 4 , D , 184 , 68 , 7 , 18 , - , 15 
Turkmenistan, 160 , - , - , D , - , 32 , D , - , D , 3 , 5 , 5 , - , - , - , 3 , D , D , D , D , - , - , - , - , 4 , D , - , D , - , - , - , - , 6 , - , 35 , - , - , 3 , D , D , 12 , - , D , - , - , - , 6 , - , - , 6 , - , 3 , 9 , D , 11 , - , D 
Turks and Caicos Islands, 47 , - , - , - , - , D , - , D , - , - , 29 , D , - , - , - , - , - , - , - , D , - , - , D , - , - , - , - , - , - , - , - , - , 3 , - , 4 , - , - , D , - , - , D , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - 
Uganda, 763 , D , - , 6 , - , 99 , 14 , 11 , D , 5 , 22 , 23 , - , D , D , 43 , D , 5 , 3 , 5 , D , 4 , 56 , 140 , 15 , 24 , D , 10 , - , D , 5 , - , 20 , D , 33 , 11 , 3 , 25 , 8 , 5 , 17 , - , 4 , 12 , D , 10 , 50 , - , - , D , - , 26 , 27 , D , 4 , D , - 
Ukraine," 8,624 ", 15 , 24 , 53 , 4 ," 1,446 ", 96 , 135 , 8 , 6 , 375 , 134 , - , 11 , 34 , 608 , 46 , 23 , 19 , 27 , 12 , 9 , 114 , 237 , 121 , 130 , 8 , 107 , 6 , 40 , 41 , 17 , 368 , 10 ," 1,367 ", 164 , 7 , 277 , 22 , 364 , 406 , - , 6 , 117 , 26 , 73 , 162 , 5 , - , 24 , - , 148 ," 1,099 ", D , 55 , D , 14 
United Arab Emirates, 499 , 5 , - , 12 , - , 75 , - , 3 , D , D , 28 , 15 , - , - , - , 29 , 3 , - , 4 , 7 , 3 , - , 9 , 5 , 21 , 9 , D , 4 , - , 3 , 5 , - , 23 , D , 40 , 12 , - , 14 , 7 , 3 , 13 , - , - , D , - , 7 , 88 , - , - , - , - , 28 , 10 , D , 4 , - , D 
United Kingdom," 9,459 ", 30 , 21 , 203 , 19 ," 1,755 ", 175 , 178 , 24 , 57 ," 1,109 ", 328 , D , 25 , 24 , 267 , 91 , 31 , 31 , 43 , 32 , 35 , 191 , 367 , 208 , 91 , 22 , 62 , 14 , 25 , 86 , 67 , 340 , 48 , 717 , 316 , 11 , 155 , 37 , 105 , 294 , D , 40 , 119 , 5 , 73 , 728 , 3 , 4 , 59 , 33 , 328 , 314 , 13 , 71 , 4 , 28 
United States, 55 , - , D , - , - , 8 , D , - , - , - , 10 , D , - , D , D , - , - , D , - , D , - , - , 7 , - , D , - , D , - , - , D , - , - , D , - , 8 , - , - , - , D , - , - , - , - , - , - , D , D , - , - , D , - , D , D , - , D , - , - 
Uruguay, 933 , - , - , 8 , D , 55 , 3 , 21 , D , - , 307 , 42 , D , 3 , D , 9 , D , 3 , D , 4 , - , - , 13 , 36 , - , 3 , D , 5 , D , - , 6 , 3 , 155 , - , 98 , 14 , - , 7 , D , D , 15 , 5 , - , 11 , - , 7 , 25 , - , - , 8 , - , 37 , 6 , - , 8 , - , 4 
