"Table 1.  Persons naturalized by Country of Birth and State of Intended Residence, Fiscal Year 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of Birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Possessions,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Jordan,"1,917",15,D,27,3,462,9,12,D,D,91,34,3,-,294,20,D,15,20,26,-,23,21,61,21,D,29,-,5,7,5,98,3,120,32,D,39,11,14,42,D,12,-,18,168,-,13,-,D,47,34,D,12,-,39
Korea,"15,928",48,71,106,12,"6,210",179,53,32,3,191,500,243,D,729,74,21,39,42,28,3,869,116,87,50,12,80,-,10,68,17,"1,075",16,"1,629",136,D,69,47,159,394,6,12,3,56,508,-,72,26,D,709,882,3,26,D,199
Kuwait,606,12,-,13,-,142,4,4,D,D,30,16,-,-,38,8,-,9,5,6,-,18,4,23,7,-,8,-,-,3,3,36,3,39,8,-,17,7,10,5,5,D,-,9,69,-,4,D,-,16,3,D,8,-,6
Laos,"5,841",32,38,36,39,"1,613",140,28,4,D,123,128,31,-,81,23,38,55,13,21,D,12,82,88,"1,172",D,22,-,13,16,6,6,5,66,128,-,35,28,84,65,43,18,4,80,147,-,-,29,-,38,170,-,967,-,70
Lebanon,"2,499",8,-,31,D,862,19,21,D,3,94,30,-,-,75,13,10,14,4,19,D,46,120,268,24,D,7,-,D,15,20,86,4,164,14,D,56,8,28,43,15,5,-,14,207,-,D,D,4,69,25,7,7,D,26
Macau,115,-,-,D,-,57,-,D,-,-,-,3,5,-,3,-,-,-,-,-,-,D,D,-,-,-,3,-,-,D,-,D,-,22,D,-,-,D,-,D,-,-,-,-,3,-,-,-,-,-,8,-,-,-,2
Malaysia,983,9,4,16,3,338,9,5,-,-,29,35,7,-,21,6,D,7,4,8,D,29,16,11,4,D,9,-,D,6,D,41,-,145,7,-,10,12,9,19,-,D,D,12,65,-,4,D,D,14,39,D,D,-,16
Mongolia,17,-,-,-,-,D,D,-,-,-,-,D,-,-,D,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,7,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-
Nepal,318,D,-,3,-,56,15,8,-,3,15,7,-,-,15,6,3,4,5,-,-,30,6,D,9,-,D,-,3,-,6,6,4,22,7,-,D,3,6,D,-,-,D,D,24,-,-,D,-,21,12,-,4,D,3
Oman,16,-,-,-,-,5,-,-,-,-,D,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,D,-,-
Pakistan,"7,424",35,3,42,14,"1,286",45,106,14,5,237,266,-,-,697,85,11,37,19,26,4,355,125,114,43,8,70,-,8,35,27,421,11,"1,235",66,-,48,46,24,148,6,12,D,30,"1,025",-,3,27,3,348,85,11,35,D,119
Philippines,"29,043",49,204,284,54,"14,222",137,119,34,30,880,193,943,12,"1,643",140,24,64,52,75,18,596,119,177,114,55,140,8,22,799,32,"1,429",50,"1,421",136,15,106,61,199,214,37,87,15,90,"1,148",-,434,36,4,696,"1,100",11,71,6,438
Qatar,34,D,-,-,-,9,-,-,-,-,D,D,-,-,D,-,-,3,-,D,-,D,-,-,D,-,D,-,-,-,-,D,-,-,D,-,D,D,-,-,-,-,-,-,5,-,-,-,-,D,-,-,-,-,1
Saudi Arabia,251,D,-,4,-,65,D,D,-,-,15,8,-,-,22,D,D,3,D,3,-,5,8,5,D,-,D,-,D,-,-,9,D,16,6,-,4,D,6,3,3,-,-,D,26,-,-,-,D,17,6,-,-,-,-
Singapore,273,D,-,D,-,118,6,D,-,D,9,7,7,-,8,5,-,D,-,-,-,15,7,D,D,-,3,-,-,3,-,6,-,19,D,-,D,D,3,D,-,-,-,D,13,-,-,D,-,10,12,D,D,-,4
Sri Lanka,827,3,-,11,5,280,5,D,D,4,24,12,3,-,15,11,D,D,4,6,D,80,13,21,13,3,8,-,D,9,3,29,D,106,10,-,4,3,6,7,6,D,-,D,45,-,D,D,-,23,23,3,7,-,10
Syria,"1,881",8,D,15,7,743,7,6,-,3,52,23,-,-,165,10,D,15,10,6,-,27,46,51,10,3,13,-,D,6,-,81,D,230,12,-,31,12,13,94,18,D,-,10,63,-,-,-,D,33,20,5,9,-,15
Taiwan,"6,742",12,6,39,5,"3,885",50,20,7,4,93,125,26,-,113,26,17,25,13,25,3,172,108,55,29,-,27,D,4,35,7,254,14,437,38,-,37,11,68,63,4,15,-,33,399,-,10,26,D,93,228,9,19,D,49
Thailand,"3,636",14,35,51,D,"1,349",49,20,3,4,124,75,28,D,109,17,5,20,3,17,5,95,116,24,190,D,19,-,5,85,6,36,6,192,37,D,19,13,51,69,16,13,D,13,197,-,4,12,D,103,194,D,147,-,35
Turkey,"1,724",7,3,18,3,403,11,25,7,7,72,40,D,-,77,13,D,12,7,7,-,73,54,20,11,3,12,-,3,7,7,205,5,285,8,D,17,10,12,50,7,3,-,9,56,-,-,D,D,56,25,-,9,-,59
United Arab Emirates,112,D,D,D,D,21,D,D,-,-,3,3,-,-,6,D,-,D,-,3,-,6,-,7,D,-,D,-,-,-,-,3,-,14,4,-,D,4,3,D,-,-,-,-,14,-,-,-,-,4,D,-,-,-,1
Vietnam,"25,933",126,11,403,85,"10,959",315,86,16,56,687,"1,303",75,D,452,103,171,256,169,373,19,388,774,226,540,66,317,-,136,99,67,127,65,456,242,6,93,224,585,737,9,70,8,156,"2,451",-,9,140,42,617,"1,232",13,55,D,316
Yemen,589,5,-,-,-,158,D,4,D,-,4,3,-,-,48,23,-,D,5,D,D,8,-,110,4,D,D,-,-,-,-,6,-,158,4,-,D,D,D,D,D,D,-,D,7,-,-,-,-,12,3,-,-,-,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,493,-,-,4,D,87,6,3,-,5,15,12,-,-,41,6,-,D,D,3,D,23,29,10,5,D,3,-,-,D,3,22,-,98,10,-,3,D,-,17,-,D,-,D,26,-,-,-,D,23,8,-,4,-,10
Angola,64,-,-,D,-,6,D,D,-,-,4,D,-,-,D,D,-,-,-,-,-,D,12,-,D,-,-,-,-,-,D,7,-,4,-,-,D,-,-,4,7,-,-,-,D,-,-,-,-,-,-,-,-,-,4
Benin,27,-,-,-,-,5,3,D,-,-,-,3,D,-,D,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,3,D,-,-,-,-
Botswana,12,-,-,-,-,D,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,D,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-
Burkina Faso,12,-,-,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,3,D,-,-,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-
Burundi,21,-,-,D,-,D,D,-,-,-,D,-,-,-,-,-,-,D,-,-,D,D,-,D,-,-,-,-,-,-,-,-,-,3,-,-,D,-,-,-,-,-,-,D,D,-,-,-,D,-,D,-,-,-,-
Cameroon,534,D,-,D,-,39,5,D,3,4,8,47,-,-,15,3,D,D,7,D,-,172,22,6,34,D,5,-,D,D,D,13,D,24,6,-,4,6,3,5,-,D,-,D,44,-,-,-,-,26,11,-,D,-,3
