Supplemental Table 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY STATE OR TERRITORY OF RESIDENCE AND REGION AND COUNTRY OF BIRTH: FISCAL YEAR 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region and country of birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Tanzania, 466 , 4 , - , D , 3 , 51 , 4 , 5 , 4 , 3 , 29 , 28 , - , - , - , 18 , D , 3 , 10 , D , - , - , 26 , 26 , 3 , 15 , - , 10 , - , D , D , 6 , 20 , 5 , 16 , 14 , - , 14 , D , D , 20 , - , 5 , D , D , 9 , 63 , - , - , D , - , 14 , 16 , - , 5 , - , 1 
Thailand," 4,112 ", 19 , 14 , 55 , 15 ," 1,130 ", 63 , 23 , 11 , 6 , 261 , 89 , 11 , 46 , 7 , 112 , 29 , 11 , 19 , 20 , 17 , 17 , 74 , 174 , 50 , 167 , 9 , 50 , D , 9 , 104 , 24 , 52 , 20 , 172 , 102 , D , 47 , 32 , 73 , 70 , - , 14 , 23 , 3 , 30 , 274 , D , D , 34 , 7 , 147 , 189 , 4 , 144 , D , 32 
Togo," 1,253 ", 8 , - , 16 , D , 28 , 13 , 29 , D , 7 , 22 , 127 , - , 3 , D , 104 , 21 , 14 , 4 , 13 , 4 , D , 148 , 12 , 5 , 94 , D , 15 , - , 60 , 3 , D , 65 , - , 138 , 67 , 6 , 40 , 3 , 6 , 43 , - , D , 4 , - , 6 , 41 , - , - , 4 , D , 44 , 6 , D , 13 , - , 6 
Tonga, 208 , - , 3 , 6 , - , 104 , D , - , - , - , D , - , D , 19 , D , - , - , - , - , D , - , - , - , - , - , - , - , D , - , - , 7 , - , - , - , D , - , - , - , - , D , D , - , - , - , - , - , 3 , - , - , 41 , - , D , 6 , - , - , - , 4 
Trinidad and Tobago," 4,740 ", 19 , D , 18 , 5 , 106 , 10 , 51 , 17 , 27 , 820 , 171 , D , 6 , - , 46 , 19 , 4 , 5 , 14 , 22 , D , 298 , 136 , 18 , 14 , 10 , 13 , - , D , 9 , - , 344 , 5 ," 1,839 ", 55 , - , 29 , 20 , 3 , 179 , D , 9 , 23 , D , 14 , 174 , - , 21 , - , - , 98 , 17 , D , 8 , D , 34 
Tunisia, 407 , 3 , D , 4 , - , 60 , 6 , 4 , - , 4 , 62 , 12 , - , - , - , 13 , 5 , - , - , D , - , - , 8 , 5 , 8 , 5 , D , 7 , - , - , 7 , - , 13 , D , 32 , 7 , D , 18 , - , D , 41 , - , D , 5 , - , 5 , 16 , - , - , D , - , 33 , 8 , D , 3 , - , 2 
Turkey," 3,213 ", 11 , D , 31 , D , 470 , 36 , 67 , 38 , 10 , 247 , 93 , - , 4 , - , 99 , 26 , 5 , 10 , 10 , 12 , 3 , 60 , 122 , 41 , 14 , 5 , 17 , 5 , 7 , 15 , 17 , 420 , 12 , 523 , 62 , D , 50 , 13 , 24 , 148 , 3 , 9 , 15 , D , 27 , 169 , - , - , 8 , - , 124 , 70 , 5 , 19 , D , 31 
Turkmenistan, 138 , - , - , 3 , - , 21 , D , 3 , - , 4 , 14 , 6 , - , - , D , 5 , D , - , - , - , D , - , 7 , 6 , 3 , D , - , D , - , - , - , D , D , - , 23 , D , - , 4 , - , 3 , D , - , - , - , - , D , D , - , - , D , - , 3 , 5 , - , 9 , - , - 
Turks and Caicos Islands, 20 , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
U.S. Virgin Islands, D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , D , D , - , - , - , - , - , - , - , - , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Uganda, 637 , 4 , - , 13 , D , 72 , 19 , 11 , - , D , 26 , 22 , - , D , D , 17 , 12 , 5 , D , D , 5 , - , 59 , 109 , 9 , 15 , - , 5 , D , - , D , - , 23 , D , 27 , 10 , - , 5 , 10 , 3 , 14 , - , D , 11 , D , 7 , 52 , - , - , D , - , 29 , 16 , D , 8 , - , 4 
Ukraine," 7,345 ", 15 , 17 , 38 , 8 ," 1,074 ", 112 , 90 , 9 , 13 , 340 , 101 , - , 19 , 26 , 596 , 31 , 25 , 14 , 32 , D , 9 , 123 , 230 , 110 , 94 , 10 , 69 , 9 , 19 , 40 , 21 , 366 , 10 ," 1,271 ", 98 , 3 , 201 , 32 , 229 , 406 , - , 5 , 38 , 13 , 25 , 151 , - , - , 21 , D , 126 , 954 , 4 , 56 , 4 , 28 
United Arab Emirates, 404 , 6 , - , 11 , - , 66 , 3 , 3 , 3 , - , 29 , 10 , - , - , - , 27 , D , - , D , - , 3 , - , 10 , 11 , 21 , 7 , - , D , - , - , - , D , 17 , D , 22 , 8 , - , 11 , 3 , 5 , 17 , - , - , D , - , D , 73 , - , D , - , - , 11 , 8 , D , 3 , - , 2 
United Kingdom," 8,401 ", 45 , 16 , 187 , 22 ," 1,510 ", 176 , 168 , 47 , 37 , 990 , 313 , 4 , 35 , 23 , 252 , 53 , 25 , 26 , 30 , 34 , 25 , 173 , 335 , 181 , 64 , 11 , 51 , 13 , 13 , 75 , 54 , 354 , 41 , 568 , 247 , 5 , 152 , 26 , 98 , 259 , 3 , 39 , 77 , D , 69 , 688 , D , 6 , 40 , 17 , 295 , 287 , 16 , 56 , 13 , 54 
United States, 45 , D , D , - , - , 9 , D , - , - , D , 4 , - , - , - , D , - , D , - , - , - , - , - , D , - , D , - , - , - , D , D , - , - , D , - , 3 , D , - , D , - , D , D , - , - , D , - , D , 6 , - , - , D , - , D , 3 , - , - , - , - 
Uruguay, 585 , - , - , 4 , - , 38 , 3 , 8 , - , 4 , 174 , 40 , - , - , - , 10 , 4 , - , 3 , D , D , - , 9 , 25 , D , D , D , D , - , - , D , 3 , 84 , - , 57 , 3 , - , 4 , D , D , 13 , 6 , D , 6 , D , D , 28 , - , - , 10 , D , 17 , 5 , - , D , - , 6 
Uzbekistan," 1,472 ", 4 , D , 15 , D , 185 , 30 , 11 , D , D , 75 , 41 , D , D , 14 , 45 , 4 , D , 4 , 11 , D , - , 56 , 36 , 11 , 6 , D , 13 , D , 3 , 4 , D , 67 , 3 , 510 , 8 , 4 , 31 , 6 , 18 , 86 , - , D , 6 , - , 9 , 27 , - , - , 3 , - , 27 , 72 , - , 6 , - , 3 
Vanuatu, D , - , - , - , - , D , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Venezuela," 5,243 ", 17 , 4 , 39 , 6 , 219 , 46 , 39 , 13 , 7 ," 2,596 ", 187 , D , 8 , 5 , 68 , 29 , 6 , 21 , 18 , 39 , D , 62 , 93 , 30 , 29 , 4 , 30 , D , 6 , 20 , 7 , 149 , 4 , 245 , 111 , - , 59 , 32 , 13 , 77 , 62 , 13 , 30 , - , 36 , 532 , - , D , 48 , - , 82 , 47 , 4 , 18 , D , 27 
Vietnam," 19,313 ", 99 , 9 , 379 , 81 ," 6,513 ", 266 , 114 , 17 , 15 , 802 , 781 , 9 , 114 , 17 , 297 , 87 , 124 , 158 , 73 , 336 , 36 , 273 , 661 , 203 , 291 , 93 , 223 , - , 99 , 125 , 29 , 299 , 83 , 363 , 388 , 8 , 152 , 206 , 317 , 599 , D , 16 , 96 , 4 , 136 ," 2,521 ", - , - , 68 , 12 , 557 , 975 , 17 , 76 , D , 92 
Western Sahara, D , - , - , - , - , D , - , - , - , - , - , D , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
Yemen," 1,186 ", 20 , D , 3 , 4 , 202 , 6 , 17 , 14 , - , 3 , 8 , - , - , - , 36 , 10 , - , D , 4 , 16 , - , 5 , 4 , 306 , 13 , 11 , 9 , - , D , D , - , 11 , - , 344 , 25 , - , 7 , - , D , 5 , - , - , 3 , - , 21 , 10 , - , - , D , - , 31 , 10 , D , D , - , 16 
Zambia, 317 , 5 , D , 8 , D , 31 , 5 , 3 , D , - , 24 , 25 , D , D , D , 17 , 9 , D , 3 , D , - , D , 25 , 7 , 9 , 6 , - , 7 , D , D , D , - , 9 , D , 10 , 5 , - , D , D , 3 , 10 , - , - , 4 , - , 6 , 33 , - , - , - , - , 9 , 17 , 3 , 3 , - , 1 
Zimbabwe, 546 , 5 , D , 15 , D , 47 , 5 , 4 , 4 , D , 50 , 36 , - , D , D , 11 , 15 , - , 10 , 6 , D , D , 10 , 21 , 16 , 7 , D , 8 , - , 3 , D , 7 , 10 , 5 , 20 , 23 , - , 10 , D , D , 22 , - , - , 4 , D , 8 , 102 , - , - , 4 , D , 21 , 15 , D , D , - , 1 
Unknown, 326 , 3 , - , 4 , 1 , 53 , 3 , - , - , 1 , 27 , 2 , - , - , - , 30 , 9 , - , 4 , 1 , 7 , - , 2 , 1 , 16 , 2 , 2 , 4 , - , 1 , 3 , 1 , 14 , 1 , 15 , 9 , - , 27 , 3 , - , 2 , 4 , 1 , 1 , - , 7 , 34 , - , 2 , 2 , - , 9 , 4 , - , 4 , - , 10 
D Data withheld to limit disclosure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'- Represents zero.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 Yugoslavia (unknown republic) prior to February 7, 2003.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Department of Homeland Security.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
