SUPPLEMENTAL TABLE 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSONS NATURALIZED BY COUNTRY OF BIRTH AND STATE OF INTENDED RESIDENCE: FISCAL YEAR 2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of Birth,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Possessions,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Serbia and Montenegro,"3,159",D,3,96,4,303,33,35,3,6,218,26,3,19,385,22,22,5,28,4,3,31,60,278,37,D,51,D,14,25,21,123,5,653,19,5,109,D,18,110,-,3,5,4,109,-,-,35,8,52,36,D,68,-,55
Slovak Republic,318,-,-,4,D,27,4,9,-,D,30,4,-,-,45,D,-,D,-,-,D,9,4,13,D,D,D,-,-,D,D,75,-,42,D,-,10,D,-,6,-,-,-,-,7,-,-,D,D,4,4,D,D,-,3
Slovenia,60,-,-,D,-,6,D,-,-,-,-,D,-,-,5,-,D,-,D,-,-,-,D,-,-,-,D,-,-,-,D,6,-,9,D,D,9,-,D,D,-,-,-,D,D,-,-,D,D,-,D,-,D,-,1
"Soviet Union, former","3,772",D,3,24,D,635,37,38,D,D,130,25,-,4,590,13,6,8,13,3,7,124,361,163,100,-,13,D,10,7,11,260,6,474,25,D,117,D,47,76,11,17,5,11,76,-,-,19,6,53,138,D,23,-,72
Spain,"1,120",-,-,12,D,193,12,13,3,6,215,8,D,4,38,5,-,-,-,3,D,35,23,25,16,D,8,D,D,18,4,140,5,100,5,-,8,3,5,12,3,5,-,6,52,-,26,8,4,34,18,D,8,-,28
Sweden,"1,016",5,D,12,-,279,34,28,-,4,99,8,D,D,48,5,D,3,3,D,D,22,34,15,23,-,D,D,D,D,4,35,4,84,18,-,18,3,13,17,3,5,-,4,50,-,-,9,6,27,51,D,6,D,16
Switzerland,487,-,D,13,-,133,17,4,-,4,49,4,D,D,12,D,D,D,D,3,D,10,14,11,4,-,5,D,-,9,D,13,D,62,5,D,8,D,9,6,-,4,-,4,23,-,-,5,D,12,14,-,3,D,4
Tajikistan,117,-,-,D,-,10,3,D,-,-,3,-,-,-,-,-,-,-,D,-,-,D,D,D,D,-,D,-,6,-,-,-,-,71,-,-,3,-,4,D,-,-,-,-,-,-,-,-,-,D,3,-,-,-,-
Turkmenistan,58,-,-,-,-,5,-,D,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,3,D,-,D,-,-,-,-,D,-,19,-,-,D,-,-,D,-,-,-,-,3,-,-,D,-,D,5,-,11,-,-
Ukraine,"8,069",8,3,32,7,"1,465",154,86,11,D,203,65,5,18,415,37,10,12,12,D,9,183,223,190,132,D,58,5,8,17,10,409,4,"2,135",34,D,347,12,144,483,31,8,15,21,86,-,3,26,D,71,692,4,71,D,87
